id,lang,shape,content
Apple,en,s,"In mathematics and computer science, apply is a function that applies a function to arguments.  It is central to programming languages derived from lambda calculus, such as LISP and Scheme, and also in functional languages.  It has a role in the study of the denotational semantics of computer programs, because it is a continuous function on complete partial orders."
Antoine Nicolas Duchesne,en,s,"Antoine Nicolas Duchesne (born 7 October 1747 Versailles; died 18 February 1827 Paris) was a French botanist known for his keen observation of variation within species, and for demonstrating that species are not immutable, because mutations can occur.  ""As Duchesne's observations were unaided by knowledge of modern concepts of genetics and molecular biology, his insight was truly remarkable. "" His particular interests were in strawberries and gourds."
Indonesia,en,s,"Indonesia, officially the Republic of Indonesia, is a country in Southeast Asia and Oceania, between the Indian and Pacific oceans.  It consists of over 17,000 islands, including Sumatra, Java, Sulawesi, and parts of Borneo and New Guinea.  Indonesia is the world's largest archipelagic state and the 14th-largest country by area, at 1,904,569 square kilometres (735,358 square miles)."
Georg Adolf Suckow,en,s,"Georg Adolf Suckow sometimes Adolph (28 January 1751, Jena – 13 March 1813, Heidelberg) was a German physicist, chemist, mineralogist, mining engineer and naturalist. Suckow was a professor of physics, chemistry, and natural history at the University of Heidelberg.  He wrote many books and articles on chemistry, botany, zoology and mineralogy.  From 1808 he was a Member of the Bavarian Academy of Sciences and Humanities.  His son Friedrich Wilhelm Ludwig Suckow (1770–1838) was also a naturalist."
Horticulture,en,s,"Horticulture is the art and science of growing plants.  This definition is seen in its etymology, which is derived from the Latin words hortus, which means ""garden"" and cultura which means ""to cultivate"".  There are various divisions of horticulture because plants are grown for a variety of purposes.  These divisions include, but are not limited to: gardening, plant production/propagation, arboriculture, landscaping, floriculture and turf maintenance."
Plant propagation,en,s,"Plant propagation is the process by which new plants grow from various sources, including seeds, cuttings, and other plant parts.  Plant propagation can refer to both man-made and natural processes. Propagation typically occurs as a step in the overall cycle of plant growth.  For seeds, it happens after ripening and dispersal; for vegetative parts, it happens after detachment or pruning; for asexually-reproducing plants, such as strawberry, it happens as the new plant develops from existing parts."
Pouteria eerwah,en,s,"Planchonella eerwah is a rare species of Australian rainforest tree in the family Sapotaceae.  Common names include shiny-leaved condoo, black plum and wild apple.  It is endemic to south eastern Queensland, with a restricted distribution and regarded as endangered. The tree was first described as Sideroxylon eerwah in 1894 by Frederick Manson Bailey, before being moved to its current binomial name by Baehni in 1942.  The species name is derived from Mount Eerwah near Eumundi in Queensland."
Jena,en,s,"Jens is a male given name and a Danish, Dutch, German, Norwegian, Swedish, Icelandic, Faroese and Frisian derivative of Johannes.  It was the top given name for boys in Denmark in 2008."
Good (economics and accounting),en,s,"In economics, goods are items that satisfy human wants and provide utility, for example, to a consumer making a purchase of a satisfying product.  A common distinction is made between goods which are transferable, and services, which are not transferable. A good is an ""economic good"" if it is useful to people but scarce in relation to its demand so that human effort is required to obtain it."
Angiospermae,en,s,"Flowering plants are plants that bear flowers and fruits, and form the clade Angiospermae ().  The term 'angiosperm' is derived from the Greek words ἀγγεῖον / angeion ('container, vessel') and σπέρμα / sperma ('seed'), meaning that the seeds are enclosed within a fruit.  The group was formerly called Magnoliophyta. Angiosperms are by far the most diverse group of land plants with 64 orders, 416 families, approximately 13,000 known genera and 300,000 known species."
ovary (plants),en,s,"In the flowering plants, an ovary is a part of the female reproductive organ of the flower or gynoecium.  Specifically, it is the part of the pistil which holds the ovule(s) and is located above or below or at the point of connection with the base of the petals and sepals.  The pistil may be made up of one carpel or of several fused carpels (e. g.  dicarpel or tricarpel), and therefore the ovary can contain part of one carpel or parts of several fused carpels."
Planchonella eerwah,en,s,"Planchonella eerwah is a rare species of Australian rainforest tree in the family Sapotaceae.  Common names include shiny-leaved condoo, black plum and wild apple.  It is endemic to south eastern Queensland, with a restricted distribution and regarded as endangered. The tree was first described as Sideroxylon eerwah in 1894 by Frederick Manson Bailey, before being moved to its current binomial name by Baehni in 1942.  The species name is derived from Mount Eerwah near Eumundi in Queensland."
Thuringia,en,s,"Thuringia, officially the Free State of Thuringia, is one of Germany's 16 states — with 2. 1 million people its 12th-largest by population and with 16,171 square kilometers its 11th-largest in area. Erfurt is the capital and largest city.  Other cities include Jena, Gera and Weimar.  Thuringia is bordered by Bavaria, Hesse, Lower Saxony, Saxony-Anhalt, and Saxony."
subgenus,en,s,"In biology, a subgenus (plural: subgenera) is a taxonomic rank directly below genus. In the International Code of Zoological Nomenclature, a subgeneric name can be used independently or included in a species name, in parentheses, placed between the generic name and the specific epithet: e. g.  the tiger cowry of the Indo-Pacific, Cypraea (Cypraea) tigris Linnaeus, which belongs to the subgenus Cypraea of the genus Cypraea."
Chelsea Physic Garden,en,s,"The Chelsea Physic Garden was established as the Apothecaries' Garden in London, England, in 1673 by the Worshipful Society of Apothecaries to grow plants to be used as medicines.  This four acre physic garden, the term here referring to the science of healing, is among the oldest botanical gardens in Britain, after the University of Oxford Botanic Garden.  Its rock garden is the oldest in Europe devoted to alpine plants and Mediterranean plants."
Crabapple,en,s,"Malus ( or ) is a genus of about 32–57 species of small deciduous trees or shrubs in the family Rosaceae, including the domesticated orchard apple, crab apples (sometimes known in North America as crabapples) and wild apples. The genus is native to the temperate zone of the Northern Hemisphere.  Description Apple trees are typically 4–12 metres (13–39 feet) tall at maturity, with a dense, twiggy crown."
Ovary (botany),en,s,"In the flowering plants, an ovary is a part of the female reproductive organ of the flower or gynoecium.  Specifically, it is the part of the pistil which holds the ovule(s) and is located above or below or at the point of connection with the base of the petals and sepals.  The pistil may be made up of one carpel or of several fused carpels (e. g.  dicarpel or tricarpel), and therefore the ovary can contain part of one carpel or parts of several fused carpels."
scientist,en,s,"A scientist is a person who researches to advance knowledge in an area of the natural sciences. In classical antiquity, there was no real ancient analog of a modern scientist.  Instead, philosophers engaged in the philosophical study of nature called natural philosophy, a precursor of natural science.  Though Thales (c."
Golden Delicious,en,s,"Golden Delicious is a cultivar of apple.  It is one of the 15 most popular apple cultivars in the United States.   It is not closely related to Red Delicious.  History Golden Delicious arose from a chance seedling, possibly a hybrid of Grimes Golden and Golden Reinette.  The original tree was found on the family farm of J.  M.  Mullins in Clay County, West Virginia, and was locally known as Mullins' Yellow Seedling."
physics,en,s,"In a physical examination, medical examination, clinical examination, or medical checkup, a medical practitioner examines a patient for any possible medical signs or symptoms of a medical condition.  It generally consists of a series of questions about the patient's medical history followed by an examination based on the reported symptoms.  Together, the medical history and the physical examination help to determine a diagnosis and devise the treatment plan."
Malus (Galatia),en,s,"Malus or Malos (Ancient Greek: Μάλος) was a town of ancient Galatia, inhabited during Roman and Byzantine times.  It was the site of the martyrdom of Theodotus of Ancyra. Its site is located near Kalecik, in Asiatic Turkey."
Service (economics),en,s,"A service is an act or use for which a consumer, company, or government is willing to pay.  Examples include work done by barbers, doctors, lawyers, mechanics, banks, insurance companies, and so on.  Public services are those that society (nation state, fiscal union or region) as a whole pays for.  Using resources, skill, ingenuity, and experience, service provider's benefit service consumers."
Theoretical physics,en,s,"Theoretical physics is a branch of physics that employs mathematical models and abstractions of physical objects and systems to rationalize, explain, and predict natural phenomena.  This is in contrast to experimental physics, which uses experimental tools to probe these phenomena. The advancement of science generally depends on the interplay between experimental studies and theory."
chemistry,en,s,"Chemistry is the scientific study of the properties and behavior of matter.  It is a physical science within the natural sciences that studies the chemical elements that make up matter and compounds made of atoms, molecules and ions: their composition, structure, properties, behavior and the changes they undergo during reactions with other substances.  Chemistry also addresses the nature of chemical bonds in chemical compounds."
Sowing,en,s,
flower,en,s,"In physics, physical chemistry and engineering, fluid dynamics is a subdiscipline of fluid mechanics that describes the flow of fluids – liquids and gases.  It has several subdisciplines, including aerodynamics (the study of air and other gases in motion) and hydrodynamics (the study of water and other liquids in motion)."
species,en,s,"A species (pl. : species) is a population of organisms in which any two individuals of the appropriate sexes or mating types can produce fertile offspring, typically by sexual reproduction.  It is the basic unit of classification and a taxonomic rank of an organism, as well as a unit of biodiversity.  Other ways of defining species include their karyotype, DNA sequence, morphology, behaviour, or ecological niche."
Bonus–malus,en,s,"The term bonus–malus (Latin for 'good-bad') is used for a number of business arrangements which alternately reward (bonus) or penalize (malus).   It is used, for example, in the call center and insurance industries.  Call centers In call centers, a bonus–malus arrangement is a section in the contract between the company buying the call center services (buyer) and the company providing the call center services (call center) allowing for a payment to be made from one company to the other."
grafting,en,s,"Grafton (Bundjalung-Yugambeh: Gumbin Gir) is a city in the Northern Rivers region of the Australian state of New South Wales.  It is located on the Clarence River, on a floodplain, approximately 608 kilometres (378 mi) by road north-northeast of the state capital Sydney. The closest major cities, Brisbane and the Gold Coast, are located across the border in South East Queensland.  At the 2021 census, Grafton had a population of 19,255."
Rubus,en,s,"A rebus ( REE-bəss) is a puzzle device that combines the use of illustrated pictures with individual letters to depict words or phrases.  For example: the word ""been"" might be depicted by a rebus showing an illustrated bumblebee next to a plus sign (+) and the letter ""n"". It was a favourite form of heraldic expression used in the Middle Ages to denote surnames.  For example, in its basic form, three salmon (fish) are used to denote the surname ""Salmon""."
chemist,en,s,"Chemistry is the scientific study of the properties and behavior of matter.  It is a physical science within the natural sciences that studies the chemical elements that make up matter and compounds made of atoms, molecules and ions: their composition, structure, properties, behavior and the changes they undergo during reactions with other substances.  Chemistry also addresses the nature of chemical bonds in chemical compounds."
conifer,en,s,
cultivar,en,s,"A cultivar is a kind of cultivated plant that people have selected for desired traits and which retains those traits when propagated.  Methods used to propagate cultivars include division, root and stem cuttings, offsets, grafting, tissue culture, or carefully controlled seed production.  Most cultivars arise from deliberate human manipulation, but some originate from wild plants that have distinctive characteristics."
Malus (Pisidia),en,s,"Malus or Malos (Ancient Greek: Μάλος), also known as Mallus or Mallos (Μάλλος), was a town of ancient Pisidia, inhabited during Roman and Byzantine times.  It became a bishopric; no longer the seat of a residential bishop, it remains a titular see of the Roman Catholic Church. Its site is located near Sarıidris, in Asiatic Turkey."
tuber,en,s,
science,en,s,"San Luis de Sincé, also knows as Sincé.  Is a town and municipality located in the Department of Sucre, northern Colombia. San Luis de Sincé, is a town and municipality located in the Department of Sucre,  28 km (15 mi) southeast of Sincelejo, in northern Colombia.  It has an average Temperature of 26,5°C (80°F).   Its main economic activities are agriculture, stockbreeding and commerce.  It was founded November 10, 1775 by Antonio de Torre y Miranda."
seed,en,s,"Visual perception is the ability to interpret the surrounding environment through photopic vision (daytime vision), color vision, scotopic vision (night vision), and mesopic vision (twilight vision), using light in the visible spectrum reflected by objects in the environment.  This is different from visual acuity, which refers to how clearly a person sees (for example ""20/20 vision"").  A person can have problems with visual perceptual processing even if they have 20/20 vision."
phenotypic trait,en,s,"A phenotypic trait, simply trait, or character state is a distinct variant of a phenotypic characteristic of an organism; it may be either inherited or determined environmentally, but typically occurs as a combination of the two.   For example, having eye color is a character of an organism,   while blue, brown and hazel versions of eye color are traits."
intellectual property,en,s,"Intellectual property (IP) is a category of property that includes intangible creations of the human intellect.  There are many types of intellectual property, and some countries recognize more than others.  The best-known types are patents, copyrights, trademarks, and trade secrets.  The modern concept of intellectual property developed in England in the 17th and 18th centuries."
botany,en,s,"Botany, also called plant science (or plant sciences), plant biology or phytology, is the science of plant life and a branch of biology.  A botanist, plant scientist or phytologist is a scientist who specialises in this field.  The term ""botany"" comes from the Ancient Greek word botanē (βοτάνη) meaning ""pasture"", ""herbs"" ""grass"", or ""fodder""; Botanē is in turn derived from boskein (Greek: βόσκειν), ""to feed"" or ""to graze""."
perennial,en,s,"In horticulture, the term (per- + -ennial, ""through the year"") is  used to differentiate a plant from shorter-lived annuals and biennials.   It has thus been defined as a plant that lives more than two years.   The term is also loosely used to distinguish plants with little or no woody growth (secondary growth in girth) from trees and shrubs, which are also technically perennials."
Malus (disambiguation),en,s,"Malus or Malos (Ancient Greek: Μάλος) was a town of ancient Galatia, inhabited during Roman and Byzantine times.  It was the site of the martyrdom of Theodotus of Ancyra. Its site is located near Kalecik, in Asiatic Turkey."
atom,en,s,"Atoms are the basic particles of the chemical elements.  An atom consists of a nucleus of protons and generally neutrons, surrounded by an electromagnetically bound swarm of electrons.   The chemical elements are distinguished from each other by the number of protons that are in their atoms.  For example, any atom that contains 11 protons is sodium, and any atom that contains 29 protons is copper."
apple,en,s,"In mathematics and computer science, apply is a function that applies a function to arguments.  It is central to programming languages derived from lambda calculus, such as LISP and Scheme, and also in functional languages.  It has a role in the study of the denotational semantics of computer programs, because it is a continuous function on complete partial orders."
Germany,en,s,"Germany, officially the Federal Republic of Germany, is a country in Central Europe.  It lies between the Baltic and North Sea to the north and the Alps to the south.  Its sixteen constituent states have a total population of over 82 million in an area of 357,596 km2 (138,069 sq mi), making it the most populous member state of the European Union."
Medieval Latin,en,s,"Medieval Latin was the form of Literary Latin used in Roman Catholic Western Europe during the Middle Ages.  In this region it served as the primary written language, though local languages were also written to varying degrees.  Latin functioned as the main medium of scholarly exchange, as the liturgical language of the Church, and as the working language of science, literature, law, and administration."
Heidelberg Castle,en,s,"Heidelberg Castle (German: Heidelberger Schloss) is a ruin in Germany and landmark of Heidelberg.  The castle ruins are among the most important Renaissance structures north of the Alps. The castle has only been partially rebuilt since its demolition in the 17th and 18th centuries.  It is located 80 metres (260 ft) up the northern part of the Königstuhl hillside, and thereby dominates the view of the old downtown."
mace (spice),en,s,"Nutmeg is the seed, or the ground spice derived from that seed, of several tree species of the genus Myristica; fragrant nutmeg or true nutmeg (M.  fragrans) is a dark-leaved evergreen tree cultivated for two spices derived from its fruit: nutmeg, from its seed, and mace, from the seed covering.  It is also a commercial source of nutmeg essential oil and nutmeg butter.  Indonesia is the main producer of nutmeg and mace, and the true nutmeg tree is native to its islands."
Thomas Nitzsche,en,s,"Thomas Nitzsche (born 1 December 1975 in Zeulenroda) is a German politician (FDP) and the Mayor of Jena since 1 July 2018.  Career Nitzsche attended the Hubert Westhoff Polytechnic High School in Zeulenroda from 1982 to 1991, and the Carl-Zeiss-Gymnasium in Jena from 1991 until achieving his Abitur in 1994.  In 1995, he began studies in English and political science at the Friedrich Schiller University of Jena."
Granny Smith,en,s,
Raspberry,en,s,"The raspberry is the edible fruit of several plant species in the genus Rubus of the rose family, most of which are in the subgenus Idaeobatus.  The name also applies to these plants themselves.  Raspberries are perennial with woody stems.  World production of raspberries in 2022 was 947,852 tonnes, led by Russia with 22% of the total."
The Gardeners Dictionary,en,s,"The Gardeners Dictionary was a widely cited reference series, written by Philip Miller (1691–1771), which tended to focus on plants cultivated in England.  Eight editions of the series were published in his lifetime.  After his death, it was further developed by George Don as A general system of gardening and botany.  Founded upon Miller's Gardener's dictionary, and arranged according to the natural system (1831–1838)."
Malus,en,s,"Malt is any cereal grain that has been made to germinate by soaking in water and then stopped from germinating further by drying with hot air, a process known as ""malting"". Malted grain is used to make beer, whisky, malted milk, malt vinegar, confections such as Maltesers and Whoppers, flavored drinks such as Horlicks, Ovaltine, and Milo, and some baked goods, such as malt loaf, bagels, and Rich Tea biscuits.  Malted grain that has been ground into a coarse meal is known as ""sweet meal""."
Mineralogy,en,s,"Mineralogy is a subject of geology specializing in the scientific study of the chemistry, crystal structure, and physical (including optical) properties of minerals and mineralized artifacts.  Specific studies within mineralogy include the processes of mineral origin and formation, classification of minerals, their geographical distribution, as well as their utilization."
deciduous,en,s,"In the fields of horticulture and botany, the term deciduous () means ""falling off at maturity"" and ""tending to fall off"", in reference to trees and shrubs that seasonally shed leaves, usually in the autumn; to the shedding of petals, after flowering; and to the shedding of ripe fruit.  The antonym of deciduous in the botanical sense is evergreen. Generally, the term ""deciduous"" means ""the dropping of a part that is no longer needed or useful"" and the ""falling away after its purpose is finished""."
Crabapple (disambiguation),en,s,"Molly Crabapple (born Jennifer Caban; 1983) is an American artist and writer.  She is a contributing editor for VICE and has written for a variety of other outlets, as well as publishing books, including an illustrated memoir, Drawing Blood (2015), Discordia (with Laurie Penny) on the Greek economic crisis, and the art books Devil in the Details and Week in Hell (2012)."
nutmeg,en,s,
embryo,en,s,"An embryo is the initial stage of development for a multicellular organism.  In organisms that reproduce sexually, embryonic development is the part of the life cycle that begins just after fertilization of the female egg cell by the male sperm cell.  The resulting fusion of these two cells produces a single-celled zygote that undergoes many cell divisions that produce cells known as blastomeres."
Old quantum theory,en,s,"The old quantum theory is a collection of results from the years 1900–1925 which predate modern quantum mechanics.  The theory was never complete or self-consistent, but was instead a set of heuristic corrections to classical mechanics.  The theory has come to be understood as the semi-classical approximation to modern quantum mechanics."
Royal Society,en,s,"The Royal Society, formally The Royal Society of London for Improving Natural Knowledge, is a learned society and the United Kingdom's national academy of sciences.  The society fulfils a number of roles: promoting science and its benefits, recognising excellence in science, supporting outstanding science, providing scientific advice for policy, education and public engagement and fostering international and global co-operation."
angiosperm,en,s,"Flowering plants are plants that bear flowers and fruits, and form the clade Angiospermae ().  The term 'angiosperm' is derived from the Greek words ἀγγεῖον / angeion ('container, vessel') and σπέρμα / sperma ('seed'), meaning that the seeds are enclosed within a fruit.  The group was formerly called Magnoliophyta. Angiosperms are by far the most diverse group of land plants with 64 orders, 416 families, approximately 13,000 known genera and 300,000 known species."
Rosaceae,en,s,"Poaceae ( poh-AY-see-e(y)e), also called Gramineae ( grə-MIN-ee-e(y)e), is a large and nearly ubiquitous family of monocotyledonous flowering plants commonly known as grasses.  It includes the cereal grasses, bamboos, the grasses of natural grassland and species cultivated in lawns and pasture.  The latter are commonly referred to collectively as grass."
Strawberry,en,s,"The garden strawberry (or simply strawberry; Fragaria × ananassa) is a widely grown hybrid species of the genus Fragaria in the rose family, Rosaceae, collectively known as the strawberries, which are cultivated worldwide for their fruit.  This is appreciated for its aroma, bright red colour, juicy texture, and sweetness.  It is eaten either fresh or in prepared foods such as jam, juice, pies, ice cream, milkshakes, and chocolates."
Baden-Württemberg,en,s,
theory of relativity,en,s,
Erfurt,en,s,"Erfurt (German pronunciation: [ˈɛʁfʊʁt] ) is the capital and largest city of the Central German state of Thuringia.  It lies in the wide valley of the River Gera, in the southern part of the Thuringian Basin, north of the Thuringian Forest, and in the middle of a line of the six largest Thuringian cities (Thüringer Städtekette), stretching from Eisenach in the west, via Gotha, Erfurt, Weimar and Jena, to Gera in the east, close to the geographic centre of Germany."
genus,en,s,"Genre (French for 'kind, sort') is any style or form of communication in any mode (written, spoken, digital, artistic, etc. ) with socially agreed-upon conventions developed over time.  In popular usage, it normally describes a category of literature, music, or other forms of art or entertainment, based on some set of stylistic criteria.  Often, works fit into multiple genres by way of borrowing and recombining these conventions."
fruit tree,en,s,"A fruit tree is a tree which bears fruit that is consumed or used by animals and humans — all trees that are flowering plants produce fruit, which are the ripened ovaries of flowers containing one or more seeds.  In horticultural usage, the term ""fruit tree"" is limited to those that provide fruit for human food.  Types of fruits are described and defined elsewhere (see Fruit), but would include ""fruit"" in a culinary sense, as well as some nut-bearing trees, such as walnuts."
European Union Intellectual Property Office,en,s,"The European Union Intellectual Property Office (EUIPO) (French: Office de l'Union européenne pour la propriété intellectuelle) is a decentralised agency of the EU responsible for the registration of EU-wide unitary trade marks and industrial design rights.  These exist alongside the intellectual property rights of individual EU member states, so the agency also works to harmonise EU-wide and national registration processes."
micropropagation,en,s,"Micropropagation or tissue culture is the practice of rapidly multiplying plant stock material to produce many progeny plants, using modern plant tissue culture methods. Micropropagation is used to multiply a wide variety of plants, such as those that have been genetically modified or bred through conventional plant breeding methods."
Old Bridge (Heidelberg),en,s,"The Karl Theodor Bridge (German: Karl-Theodor-Brücke), commonly known as the Old Bridge (Alte Brücke), is an arch bridge in Heidelberg that crosses the Neckar river.  It connects the Old City with the eastern part of the Neuenheim district of the city on the opposite bank.  The current bridge, made of Neckar sandstone and the ninth built on the site, was constructed in 1788 by Elector Charles Theodore, and is one of the best-known landmarks and tourist destinations in Heidelberg."
molecule,en,s,"A molecule is a group of two or more atoms that are held together by attractive forces known as chemical bonds; depending on context, the term may or may not include ions that satisfy this criterion.  In quantum physics, organic chemistry, and biochemistry, the distinction from ions is dropped and molecule is often used when referring to polyatomic ions. A molecule may be homonuclear, that is, it consists of atoms of one chemical element, e. g."
plant,en,s,"A plan is typically any diagram or list of steps with details of timing and resources, used to achieve an objective to do something.  It is commonly understood as a temporal set of intended actions through which one expects to achieve a goal. For spatial or planar topologic or topographic sets see map."
Heidelberg,en,s,"Heidelberg (German: [ˈhaɪdl̩bɛʁk] ; Palatine German: Heidlberg) is a city in the German state of Baden-Württemberg, situated on the river Neckar in south-west Germany.  As of the 2016 census, its population was 159,914, of which roughly a quarter consisted of students. Located about 78 km (48 mi) south of Frankfurt, Heidelberg is the fifth-largest city in Baden-Württemberg.  Heidelberg is part of the densely populated Rhine-Neckar Metropolitan Region."
physicist,en,s,"Physics is the scientific study of matter, its fundamental constituents, its motion and behavior through space and time, and the related entities of energy and force.  Physics is one of the most fundamental scientific disciplines.  A scientist who specializes in the field of physics is called a physicist. Physics is one of the oldest academic disciplines."
Crabapple Middle School,en,s,"The Fulton County School System is a school district headquartered in Sandy Springs, Georgia, United States.  The system serves the area of Fulton County outside the Atlanta city limits (which are served by Atlanta Public Schools)."
Fragaria,en,s,"Fragaria () is a genus of flowering plants in the rose family, Rosaceae, commonly known as strawberries for their edible fruits.  There are more than 20 described species and many hybrids and cultivars.  The most common strawberries grown commercially are cultivars of the garden strawberry, a hybrid known as Fragaria × ananassa.  Strawberries have a taste that varies by cultivar, and ranges from quite sweet to rather tart."
Valanginian,en,s,"In the geologic timescale, the Valanginian is an age or stage of the Early or Lower Cretaceous.  It spans between 139. 8 ± 3. 0 Ma and 132. 6 ± 2. 0 Ma (million years ago).  The Valanginian Stage succeeds the Berriasian Stage of the Lower Cretaceous and precedes the Hauterivian Stage of the Lower Cretaceous.  Stratigraphic definitions The Valanginian was first described and named by Édouard Desor in 1853.  It is named after Valangin, a small town north of Neuchâtel in the Jura Mountains of Switzerland."
Jonathan (apple),en,s,"Jonathan is a medium-sized sweet apple, with a touch of acid and a tough but smooth skin, good for eating fresh and for cooking.  Parentage = Esopus Spitzenburg x ?   Sugar 12. 5%Acid 7. 7 g/litreVitamin C 5mg/100g.  History There are two alternative theories about the origin of the Jonathan apple. The first theory; it was grown by Rachel Negus Higley, who gathered seeds from the local cider mill in Connecticut."
List of cities and towns in Germany,en,s,"This is a complete list of the 2,056 cities and towns in Germany (as of 1 January 2024).  There is no distinction between town and city in Germany; a Stadt is an independent municipality (see Municipalities of Germany) that has been given the right to use that title.  In contrast, the generally smaller German municipalities that do not use this title, and are thus not included here, are usually just called Gemeinden."
Red Delicious,en,s,"Red Delicious is a type of apple with a red exterior and sweet taste that was first recognized in Madison County, Iowa, in 1872.  Today, the name Red Delicious comprises more than 50 cultivars.  It was the most produced cultivar in the United States from 1968 to 2018, when it was surpassed by Gala.  History The 'Red Delicious' originated at an orchard in 1872 as ""a round, blushed yellow fruit of surpassing sweetness""."
Poaceae,en,s,"Poaceae ( poh-AY-see-e(y)e), also called Gramineae ( grə-MIN-ee-e(y)e), is a large and nearly ubiquitous family of monocotyledonous flowering plants commonly known as grasses.  It includes the cereal grasses, bamboos, the grasses of natural grassland and species cultivated in lawns and pasture.  The latter are commonly referred to collectively as grass."
Molly Crabapple,en,s,"Molly Crabapple (born Jennifer Caban; 1983) is an American artist and writer.  She is a contributing editor for VICE and has written for a variety of other outlets, as well as publishing books, including an illustrated memoir, Drawing Blood (2015), Discordia (with Laurie Penny) on the Greek economic crisis, and the art books Devil in the Details and Week in Hell (2012)."
United States Patent and Trademark Office,en,s,"The United States Patent and Trademark Office (USPTO) is an agency in the U. S.  Department of Commerce that serves as the national patent office and trademark registration authority for the United States.  The USPTO's headquarters are in Alexandria, Virginia, after a 2005 move from the Crystal City area of neighboring Arlington, Virginia. The USPTO is ""unique among federal agencies because it operates solely on fees collected by its users, and not on taxpayer dollars""."
fruit,en,s,"In botany, a fruit is the seed-bearing structure in flowering plants that is formed from the ovary after flowering (see Fruit anatomy). Fruits are the means by which flowering plants (also known as angiosperms) disseminate their seeds."
tree,en,s,"AD 3 (III) or 3 AD was a common year starting on Monday or Tuesday (link will display the full calendar) of the Julian calendar (sources differ, see leap year error for further information) and a common year starting on Monday of the proleptic Julian calendar.  In the Roman Empire, it was the Year of the Consulship of Lamia and Servilius (or, less frequently, year 756 Ab urbe condita)."
