id,lang,shape,content
compact car,en,s,"Compact car is a vehicle size class—predominantly used in North America—that sits between subcompact cars and mid-size cars.  ""Small family car"" is a British term and a part of the C-segment in the European car classification.  However, before the downsizing of the United States car industry in the 1970s and 1980s, larger vehicles with wheelbases up to 110 in (2. 79 m) were considered ""compact cars"" in the United States."
Toyota Corolla,en,s,"The Toyota Corolla (Japanese: トヨタ・カローラ, Hepburn: Toyota Karōra) is a series of compact cars (formerly subcompact) manufactured and marketed globally by the Japanese automaker Toyota Motor Corporation.  Introduced in 1966, the Corolla was the best-selling car worldwide by 1974 and has been one of the best-selling cars in the world since then.  In 1997, the Corolla became the best-selling nameplate in the world, surpassing the Volkswagen Beetle."
Toyota Sprinter,en,s,"The Toyota Sprinter (Japanese: トヨタ・スプリンター, Toyota Supurintā) is a compact car manufactured by Toyota as a variant of the Toyota Corolla.  Exclusively sold in the Japanese domestic market, the Sprinter was aimed to be sportier than its Corolla sibling and also using different sheet metal mostly on the C-pillar.  The Sprinter and various body styles were exclusive to Toyota Auto Store until 1977 when the Toyota Chaser took the top position."
automotive,en,s,"A car, or an automobile, is a motor vehicle with wheels.  Most definitions of cars state that they run primarily on roads, seat one to eight people, have four wheels, and mainly transport people over cargo.  There are around one billion cars in use worldwide.  The car is considered an important part of the developed economy."
flammable liquid,en,s,
Holden Nova,en,s,"The Holden Nova is a compact car which was manufactured by Toyota Australia as a badge engineered Toyota Corolla between August 1989 and 1996.  It was a result of the Button car plan which attempted to rationalise the Australian car manufacturing industry.  The Nova was sold and marketed under the Holden nameplate, and although referred to as the GM S platform, was nearly identical to the Corolla.  However it received minor stylistic changes."
Compact car,en,s,"Compact car is a vehicle size class—predominantly used in North America—that sits between subcompact cars and mid-size cars.  ""Small family car"" is a British term and a part of the C-segment in the European car classification.  However, before the downsizing of the United States car industry in the 1970s and 1980s, larger vehicles with wheelbases up to 110 in (2. 79 m) were considered ""compact cars"" in the United States."
internal combustion engine,en,s,"An internal combustion engine (ICE or IC engine) is a heat engine in which the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit.  In an internal combustion engine, the expansion of the high-temperature and high-pressure gases produced by combustion applies direct force to some component of the engine."
Bicycle frame,en,s,"A bicycle frame is the main component of a bicycle, onto which wheels and other components are fitted.  The modern and most common frame design for an upright bicycle is based on the safety bicycle, and consists of two triangles: a main triangle and a paired rear triangle.  This is known as the diamond frame.  Frames are required to be strong, stiff and light, which they do by combining different materials and shapes."
California English,en,s,"California English (or Californian English) collectively refers to varieties of American English native to California.  As California became one of the most ethnically diverse U. S.  states, English speakers from a wide variety of backgrounds began to pick up different linguistic elements from one another and also developed new ones; the result is both divergence and convergence within California English."
car,en,s,"The cat (Felis catus), also referred to as domestic cat or house cat, is a small domesticated carnivorous mammal.  It is the only domesticated species of the family Felidae.  Advances in archaeology and genetics have shown that the domestication of the cat occurred in the Near East around 7500 BC.  It is commonly kept as a pet and farm cat, but also ranges freely as a feral cat avoiding human contact."
fuel,en,s,"Kamerun  was an African colony of the German Empire from 1884 to 1920 in the region of today's Republic of Cameroon.  Kamerun also included northern parts of Gabon and the Congo with western parts of the Central African Republic, southwestern parts of Chad and far northeastern parts of Nigeria.  History = Years preceding colonization (1868–1883) =The first German trading post in the Duala area  on the Kamerun River delta was established in 1868 by the Hamburg trading company C.  Woermann."
North American English,en,s,"North American English is the most generalized variety of the English language as spoken in the United States and Canada.  Because of their related histories and cultures, plus the similarities between the pronunciations (accents), vocabulary, and grammar of American English and Canadian English, the two spoken varieties are often grouped together under a single category.  Canadians are generally tolerant of both British and American spellings, with British spellings of certain words (e. g."
spacecraft,en,s,"A spacecraft is a vehicle that is designed to fly and operate in outer space.  Spacecraft are used for a variety of purposes, including communications, Earth observation, meteorology, navigation, space colonization, planetary exploration, and transportation of humans and cargo.  All spacecraft except single-stage-to-orbit vehicles cannot get into space on their own, and require a launch vehicle (carrier rocket)."
light truck,en,s,
California Office of Legislative Counsel,en,s,"The California Office of Legislative Counsel (OLC) (referenced in statute by its original name, the Legislative Counsel Bureau) was founded in 1913 and is a nonpartisan public agency that drafts legislative proposals, prepares legal opinions, and provides other confidential legal services to the Legislature and certain other California agencies and offices.  The OLC also provides computer services, data networking, customer support, and related technology services to the Legislature."
kinetic energy,en,s,"In physics, the kinetic energy of an object is the form of energy that it possesses due to its motion. In classical mechanics, the kinetic energy of a non-rotating object of mass m traveling at a speed v is                                           1            2                          m                  v                      2                                {\textstyle {\frac {1}{2}}mv^{2}}  ."
Automotive industry,en,s,"The automotive industry comprises a wide range of companies and organizations involved in the design, development, manufacturing, marketing, selling, repairing, and modification of motor vehicles.  It is one of the world's largest industries by revenue (from 16% such as in France up to 40% to countries such as Slovakia). The word automotive comes from the Greek autos (self), and Latin motivus (of motion), referring to any form of self-powered vehicle."
Buoyancy,en,s,"Buoyancy (), or upthrust is a net upward force exerted by a fluid that opposes the weight of a partially or fully immersed object.  In a column of fluid, pressure increases with depth as a result of the weight of the overlying fluid.  Thus, the pressure at the bottom of a column of fluid is greater than at the top of the column.  Similarly, the pressure at the bottom of an object submerged in a fluid is greater than at the top of the object."
Applied Energy,en,s,"Applied Energy is a peer-reviewed academic journal covering research on energy engineering that was established in 1975.  The journal covers areas of energy conversion and conservation, the optimal use of energy resources, analysis and optimization of energy processes, mitigation of environmental pollutants, and sustainable energy systems.  The Editor-in-Chiefs are Jianzhong Wu and Zita Vale. According to the Journal Citation Reports, the journal has a 2021 impact factor of 11."
List of best-selling automobiles,en,s,"Since the introduction of the Benz Patent Motorwagen in 1886, some passenger cars and light trucks can claim to being the highest selling vehicles in the automobile markets. While references to verify the manufacturers' claims have been included, there is always the possibility of inaccuracy or hyperbole."
C-segment,en,s,
outer space,en,s,
California,en,s,"California is a state in the Western United States, lying on the American Pacific Coast.  It borders Oregon to the north, Nevada and Arizona to the east, and an international border with the Mexican state of Baja California to the south.  With nearly 39 million residents across an area of 163,696 square miles (423,970 km2), it is the most populous U. S.  state, the third-largest by area, and most populated subnational entity in North America."
Daihatsu Charmant,en,s,"The Daihatsu Charmant (Japanese: ダイハツ・シャルマン, Hepburn: Daihatsu Sharuman) is a subcompact car built by Daihatsu of Japan, based on the Toyota Corolla.  It was succeeded by the Daihatsu Applause two years after Charmant production ended.  The Charmant was heavily based on the E20 Toyota Corolla; model changes paralleled those of the Corolla.  All Charmants were fitted with Toyota inline-four engines, ranging from 1. 2 to 1. 6 litres.  The word charmant is French for ""charming."
Toyota Allex,en,s,"The Toyota Corolla (E120/E130) is the ninth generation of compact cars sold by Toyota under the Corolla nameplate.  In Japan, this series arrived to the market in August 2000; however, exports were typically not achieved until 2001 and 2002 depending on the market. The sedan and station wagon arrived first in August 2000, followed by the five-door hatchback in January 2001, and the Europe-only three-door hatchback in 2002."
Toyota Tazz,en,s,
Astra Daihatsu Motor,en,s,"PT Astra Daihatsu Motor (also called ADM) is an automobile manufacturing company based in Jakarta, Indonesia.  It is a joint venture company between Daihatsu, Astra International and Toyota Tsusho.  It is the largest car manufacturer in Indonesia by production output and installed capacity, and has been second best-selling car brand behind Toyota.  ADM also supplied most Toyota-branded models sold in Indonesia, which includes compact cars such as Avanza, Rush, Agya and Calya."
vehicle,en,s,"A vehicle (from Latin  vehiculum) is a machine designed for self-propulsion, usually to transport people, cargo, or both.  The term ""vehicle"" typically refers to land vehicles such as human-powered vehicles (e. g.  bicycles, tricycles, velomobiles), animal-powered transports (e. g.  horse-drawn carriages/wagons, ox carts, dog sleds), motor vehicles (e. g."
Nissan,en,s,"Nissan Motor Corporation (日産自動車株式会社, Nissan Jidōsha kabushiki gaisha) is a Japanese multinational automobile manufacturer headquartered in Yokohama, Kanagawa, Japan.  The company sells its vehicles under the Nissan and Infiniti brands, and formerly the Datsun brand, with in-house performance tuning products (including cars) under the Nismo and Autech brands.  The company traces back to the beginnings of the 20th century, with the Nissan zaibatsu, now called Nissan Group."
petrochemical,en,s,"Petrochemicals (sometimes abbreviated as petchems) are the chemical products obtained from petroleum by refining.  Some chemical compounds made from petroleum are also obtained from other fossil fuels, such as coal or natural gas, or renewable sources such as maize, palm fruit or sugar cane. The two most common petrochemical classes are olefins (including ethylene and propylene) and aromatics (including benzene, toluene and xylene isomers)."
Toyota Auris,en,s,
figure of speech,en,s,"A figure of speech or rhetorical figure is a word or phrase that intentionally deviates from straightforward language use or literal meaning to produce a rhetorical or intensified effect (emotionally, aesthetically, intellectually, etc. ).  In the distinction between literal and figurative language, figures of speech constitute the latter."
flight,en,s,"Light, visible light, or visible radiation is electromagnetic radiation that can be perceived by the human eye.  Visible light spans the visible spectrum and is usually defined as having wavelengths in the range of 400–700 nanometres (nm), corresponding to frequencies of 750–420 terahertz.  The visible band sits adjacent to the infrared (with longer wavelengths and lower frequencies) and the ultraviolet (with shorter wavelengths and higher frequencies), called collectively optical radiation."
spaceflight,en,s,"Spaceflight (or space flight) is an application of astronautics to fly objects, usually spacecraft, into or through outer space, either with or without humans on board.  Most spaceflight is uncrewed and conducted mainly with spacecraft such as satellites in orbit around Earth, but also includes space probes for flights beyond Earth orbit.  Such spaceflights operate either by telerobotic or autonomous control."
List of most-produced aircraft,en,s,"This is a list of the most-produced aircraft types whose numbers exceed or exceeded 5,000.  Any and all types of aircraft qualify, including airplanes, airships, balloons, gliders (sailplanes), helicopters, etc.  Most-produced aircraft Notes Unless noted, aircraft are piston-engined  monoplanes. Role is generally either the original designed role of the aircraft or the role dominated production, disregarding minor variants."
rhetoric,en,s,"Rhetoric () is the art of persuasion.  It is one of the three ancient arts of discourse (trivium) along with grammar and logic/dialectic.  As an academic discipline within the humanities, rhetoric aims to study the techniques that speakers or writers use to inform, persuade, and motivate their audiences.  Rhetoric also provides heuristics for understanding, discovering, and developing arguments for particular situations."
Nissan Sunny,en,s,"The Nissan Sunny (Japanese: 日産・サニー, Hepburn: Nissan Sanī) is an automobile built by the Japanese automaker Nissan from 1966 till 2004.  In the early 1980s, the brand changed from Datsun to Nissan in line with other models by the company.  Although production of the Sunny in Japan ended in 2004, the name remains in use in China and GCC countries for a rebadged version of the Nissan Almera."
International Space Station,en,s,"The International Space Station (ISS) is a large space station that was assembled and is maintained in low Earth orbit by a collaboration of five space agencies and their contractors: NASA (United States), Roscosmos (Russia), ESA (Europe), JAXA (Japan), and CSA (Canada).  The ISS is the largest space station ever built.  Its primary purpose is to perform microgravity and space environment experiments."
Gasoline,en,s,"Gasoline (North American English) or petrol (Commonwealth English) is a petrochemical product characterized as a transparent, yellowish, and flammable liquid normally used as a fuel for spark-ignited internal combustion engines.  When formulated as a fuel for engines, gasoline is chemically composed of organic compounds derived from the fractional distillation of petroleum and later chemically enhanced with gasoline additives."
Soyuz (spacecraft),en,s,"Soyuz (Russian: Союз, IPA: [sɐˈjus], lit.  'Union') is a series of spacecraft which has been in service since the 1960s, having made more than 140 flights.  It was designed for the Soviet space program by the Korolev Design Bureau (now Energia).  The Soyuz succeeded the Voskhod spacecraft and was originally built as part of the Soviet crewed lunar programs.  It is launched atop the similarly named Soyuz rocket from the Baikonur Cosmodrome in Kazakhstan."
exaggeration,en,s,"Exaggerator (foaled February 5, 2013) is a retired American Thoroughbred racehorse, winner of the 2016 Preakness Stakes.  Racing as a two-year-old in 2015, he won three of his six starts including the Saratoga Special Stakes and the Delta Jackpot Stakes as well as finishing second in the Breeders' Futurity and fourth in the Breeders' Cup Juvenile."
liquid fuel,en,s,"Liquid fuels are combustible or energy-generating molecules that can be harnessed to create mechanical energy, usually producing kinetic energy; they also must take the shape of their container.  It is the fumes of liquid fuels that are flammable instead of the fluid. Most liquid fuels in widespread use are derived from fossil fuels; however, there are several types, such as hydrogen fuel (for automotive uses), ethanol, and biodiesel, which are also categorized as a liquid fuel."
Subcompact car,en,s,"Subcompact car is a North American classification for cars smaller than a compact car.  It is broadly equivalent to the B-segment (Europe), supermini (Great Britain) or A0-class (China) classifications. According to the U. S.  Environmental Protection Agency (EPA) car size class definition, the subcompact category sits between the ""minicompact"" and ""compact"" categories."
Nissan Sentra,en,s,"The Nissan Sentra is a series of automobiles manufactured by the Japanese automaker Nissan since 1982.  Since 1999, the Sentra has been categorized as a compact car, while previously it occupied the subcompact class.  Until 2006, Sentra was a rebadged export version of the Japanese Nissan Sunny, but since the 2013 model year, Sentra is a rebadged export version of the Sylphy.  The Sentra nameplate is not used in Japan."
English in the Commonwealth of Nations,en,s,"The use of the English language in current and former Commonwealth countries was largely inherited from British colonisation, with some exceptions.  English serves as the medium of inter-Commonwealth relations and the language forms part of the common culture of the Commonwealth."
diesel engine,en,s,"The diesel engine, named after the German engineer Rudolf Diesel, is an internal combustion engine in which ignition of the fuel is caused by the elevated temperature of the air in the cylinder due to mechanical compression; thus, the diesel engine is called a compression-ignition engine (CI engine)."
Diesel fuel,en,s,"Diesel fuel, also called diesel oil, heavy oil (historically) or simply diesel, is any liquid fuel specifically designed for use in a diesel engine, a type of internal combustion engine in which fuel ignition takes place without a spark as a result of compression of the inlet air and then injection of fuel.  Therefore, diesel fuel needs good compression ignition characteristics."
gross vehicle weight,en,s,Vehicle weight is a measurement of wheeled motor vehicles; either an actual measured weight of the vehicle under defined conditions or a gross weight rating for its weight carrying capacity.
Public company,en,s,"A public company is a company whose ownership is organized via shares of stock which are intended to be freely traded on a stock exchange or in over-the-counter markets.  A public (publicly traded) company can be listed on a stock exchange (listed company), which facilitates the trade of shares, or not (unlisted public company).  In some jurisdictions, public companies over a certain size must be listed on an exchange."
Petrol,en,s,"Gasoline (North American English) or petrol (Commonwealth English) is a petrochemical product characterized as a transparent, yellowish, and flammable liquid normally used as a fuel for spark-ignited internal combustion engines.  When formulated as a fuel for engines, gasoline is chemically composed of organic compounds derived from the fractional distillation of petroleum and later chemically enhanced with gasoline additives."
Holden,en,s,"Hold on is the sixth and final album by the British hard rock band Trapeze.   The album was originally released in Germany in 1978 under the name Running with a different track order and album cover.  This was the first and only studio Trapeze album to feature vocalist Pete Goalby, who later worked with Uriah Heep.  Track listing All songs written by Mel Galley, except where noted."
Aichi Kikai,en,s,"Aichi Kokuki KK (愛知航空機株式会社, Aichi Kōkūki Kabushiki Kaisha, Aichi Aircraft Co. , Ltd. ) was a Japanese aerospace manufacturer which produced several designs for the Imperial Japanese Navy.  After the war, the company was reorganized as Aichi Machine Industry Co. , Ltd (愛知機械工業) where they made small kei cars until 1966 when they were integrated into Nissan and developed the Nissan Sunny and Nissan Vanette."
Akio Toyoda,en,s,
Nikkei 225,en,s,"The Nikkei 225, or the Nikkei Stock Average (Japanese: 日経平均株価, Hepburn: Nikkei heikin kabuka), more commonly called the Nikkei or the Nikkei index (), is a stock market index for the Tokyo Stock Exchange (TSE).   It is a price-weighted index, operating in the Japanese Yen (JP¥), and its components are reviewed twice a year.  The Nikkei 225 measures the performance of 225 highly capitalised and liquid publicly owned companies in Japan from a wide array of industry sectors."
Human-powered transport,en,s,"Human-powered transport is the transport of person(s) and/or goods (freight) using human muscle power.  Unlike animal-powered transport, human-powered transport has existed since time immemorial in the form of walking, running and swimming, as well as small vehicles such as litters, rickshaws, wheelchairs and wheelbarrows.  Modern technology has allowed mechanical advantage devices and machines to enhance human-power."
Daihatsu,en,s,"Daihatsu Motor Co. , Ltd.  (Japanese: ダイハツ工業株式会社, Hepburn: Daihatsu Kōgyō Kabushiki-gaisha) is a Japanese automobile manufacturer headquartered in Ikeda, Osaka Prefecture, Japan. Historically one of the oldest surviving Japanese internal combustion engine manufacturers, the company was known for building three-wheeled vehicles and off-road vehicles, while currently the company offers a range of kei car models, along with kei trucks, kei vans and other larger small cars in Japan."
TOPIX,en,s,"Nikola Topić (Serbian Cyrillic: Никола Топић, born 10 August 2005) is a Serbian professional basketball player for the Oklahoma City Thunder of the National Basketball Association (NBA).  Standing at 6 ft 6 in (1. 98 m), he plays at the point guard position.  Early career Topić grew up playing basketball for KK Defense from his native Novi Sad from which he joined the Crvena zvezda youth system in June 2020."
goods vehicle,en,s,"A large goods vehicle (LGV), or heavy goods vehicle (HGV), in the European Union (EU) is any lorry with a gross combination mass (GCM) of over 3,500 kg (7,700 lb).  Sub-category N2 is used for vehicles between 3,500 kg and 12,000 kg (26,000 lb) and N3 for all goods vehicles over 12,000 kg as defined in Directive 2001/116/EC."
Californio,en,s,"Californios (singular Californio) are Hispanic Californians, especially those descended from Spanish and Mexican settlers of the 17th through 19th centuries before California was annexed by the United States.  California's Spanish-speaking community has resided there since 1683 and is made up of varying Spanish and Mexican origins, including criollos, Mestizos, Indigenous Californian peoples, and small numbers of Mulatos."
Bicycle wheel,en,s,"A bicycle wheel is a wheel, most commonly a wire wheel, designed for a bicycle.  A pair is often called a wheelset, especially in the context of ready built ""off the shelf"" performance-oriented wheels. Bicycle wheels are typically designed to fit into the frame and fork via dropouts, and hold bicycle tires.  Invention The first wheel to use the tension in metal spokes was invented by Sir George Cayley to achieve lightness in his 1853 glider."
Benz Patent-Motorwagen,en,s,"The Benz Patent-Motorwagen (""patent motorcar""), built in 1885 by the German Karl Benz, is widely regarded as the first practical modern automobile and was the first car put into production.  It was patented in January 1886 and unveiled in public later that year.  The original cost of the vehicle was 600 imperial German marks, approximately 150 US dollars (equivalent to $5,100 in 2023)."
mechanical energy,en,s,"In  physical sciences, mechanical energy is the sum of potential energy and kinetic energy.  The principle of conservation of mechanical energy states that if an isolated system is subject only to conservative forces, then the mechanical energy is constant.  If an object moves in the opposite direction of a conservative net force, the potential energy will increase; and if the speed (not the velocity) of the object changes, the kinetic energy of the object also changes."
Toyota Probox,en,s,
Daihatsu Applause,en,s,"The Daihatsu Applause (Japanese: ダイハツ・アプローズ, Daihatsu Apurōzu) is a compact car (C-segment in Europe) manufactured by the Japanese automaker Daihatsu for British and Australian markets.  The Daihatsu Applause was manufactured from 1989 to 2000.  It is most notable for its unusual body style, which, despite appearing to be a 4-door notchback sedan, is in fact a 5-door liftback with a notchback-shaped 412-litre trunk and a tailgate."
Benz Patent Motorwagen,en,s,"The Benz Patent-Motorwagen (""patent motorcar""), built in 1885 by the German Karl Benz, is widely regarded as the first practical modern automobile and was the first car put into production.  It was patented in January 1886 and unveiled in public later that year.  The original cost of the vehicle was 600 imperial German marks, approximately 150 US dollars (equivalent to $5,100 in 2023)."
automobile,en,s,"A car, or an automobile, is a motor vehicle with wheels.  Most definitions of cars state that they run primarily on roads, seat one to eight people, have four wheels, and mainly transport people over cargo.  There are around one billion cars in use worldwide.  The car is considered an important part of the developed economy."
Car,en,s,"The cat (Felis catus), also referred to as domestic cat or house cat, is a small domesticated carnivorous mammal.  It is the only domesticated species of the family Felidae.  Advances in archaeology and genetics have shown that the domestication of the cat occurred in the Near East around 7500 BC.  It is commonly kept as a pet and farm cat, but also ranges freely as a feral cat avoiding human contact."
electric bicycle,en,s,"An electric bicycle, e-bike, electrically assisted pedal cycle, or electrically power assisted cycle is a motorized bicycle with an integrated electric motor used to assist propulsion.  Many kinds of e-bikes are available worldwide, but they generally fall into two broad categories: bikes that assist the rider's pedal-power (i. e.  pedelecs) and bikes that add a throttle, integrating moped-style functionality."
Kiichiro Toyoda,en,s,"Kiichiro Toyoda (Japanese: 豊田 喜一郎（とよだ きいちろう）, Hepburn: Toyoda Kiichirō, June 11, 1894 – March 27, 1952) was a Japanese businessman and the son of Toyoda Loom Works founder Sakichi Toyoda.  His decision to change Toyoda's focus from automatic loom manufacture into automobile manufacturing created what later became Toyota Motor Corporation."
Cargo,en,s,
electric motor,en,s,"An electric motor is a machine that converts electrical energy into mechanical energy.  Most electric motors operate through the interaction between the motor's magnetic field and electric current in a wire winding to generate force in the form of torque applied on the motor's shaft.  An electric generator is mechanically identical to an electric motor, but operates in reverse, converting mechanical energy into electrical energy."
aircraft,en,s,"An aircraft (pl. : aircraft) is a vehicle that is able to fly by gaining support from the air.  It counters the force of gravity by using either static lift or the dynamic lift of an airfoil, or, in a few cases, direct downward thrust from its engines.  Common examples of aircraft include airplanes, helicopters, airships (including blimps), gliders, paramotors, and hot air balloons. The human activity that surrounds aircraft is called aviation."
Lubricant,en,s,"Lubrication is the process or technique of using a lubricant to reduce friction and wear and tear in a contact between two surfaces.  The study of lubrication is a discipline in the field of tribology. Lubrication mechanisms such as fluid-lubricated systems are designed so that the applied load is partially or completely carried by hydrodynamic or hydrostatic pressure, which reduces solid body interactions (and consequently friction and wear)."
fossil fuels,en,s,"A fossil fuel is a carbon compound- or hydrocarbon-containing material formed naturally in the Earth's crust from the buried remains of prehistoric organisms (animals, plants or planktons), a process that occurs within geological formations."
Toyota Corolla (E120),en,s,
