id,lang,shape,content
London congestion charge,en,s,"The London congestion charge is a fee charged on most cars and motor vehicles being driven within the Congestion Charge Zone (CCZ) in Central London between 7:00 am and 6:00 pm Monday to Friday, and between 12:00 noon and 6:00 pm Saturday and Sunday. Inspired by Singapore's Electronic Road Pricing (ERP) system after London officials had travelled to the country, the charge was first introduced on 17 February 2003."
Salisbury Cathedral,en,s,"Salisbury Cathedral, formally the Cathedral Church of the Blessed Virgin Mary, is an Anglican cathedral in the city of Salisbury, England.  The cathedral is considered the beau idéal of Early English Gothic design.  Built over a relatively short period, some 38 years between 1220 and 1258, it has a unity and coherence that is unusual in medieval English cathedrals.  The tower and spire were completed by 1330 and at 404 feet (123 m) is the tallest church spire in England."
2018 Commonwealth Heads of Government Meeting,en,s,"The 2018 Commonwealth Heads of Government Meeting, also known as CHOGM 2018, was the 25th Meeting of the Heads of Government of the Commonwealth of Nations.  It was held in the United Kingdom.  The meeting had been planned to have been held by Vanuatu at the end of 2017, but was moved to the United Kingdom after the impact of Cyclone Pam on the infrastructure of Vanuatu.  The meeting was then postponed to April 2018 due to other international commitments."
CoStar Group,en,s,"CoStar Group, Inc.  is an American provider of information, analytics, and marketing services to the commercial property industry in North America and Europe.  Founded in 1987 by Andrew C.  Florance and based in Washington, D. C. , the company has grown to include the online database CoStar and several online marketplaces, including Apartments. com and Homes. com.  History = Origins =CoStar Group was founded in 1987 by Andrew C.  Florance in Washington, D. C."
England,en,s,"England is a country that is part of the United Kingdom.  It is located on the island of Great Britain, of which it covers about 62%, and more than 100 smaller adjacent islands.  It has land borders with Scotland to the north and Wales to the west, and is otherwise surrounded by the North Sea to the east, the English Channel to the south, the Celtic Sea to the south-west, and the Irish Sea to the west.  Continental Europe lies to the south-east, and Ireland to the west."
urban planning,en,s,"Urban planning, also known as town planning, city planning, regional planning, or rural planning in specific contexts, is a technical and political process that is focused on the development and design of land use and the built environment, including air, water, and the infrastructure passing into and out of urban areas, such as transportation, communications, and distribution networks, and their accessibility."
Road,en,s,"Old (Croatian: Oldince, Olnica) is a village in Baranya county, Hungary."
ring road,en,s,"A range road in Canada is a road that runs north–south along a range grid line of the Dominion Land Survey.   Range roads (Rge.  Rd.  or RR) are perpendicular to township roads (Twp.  Rd. ) which run east–west along the township grid lines.  Western Canada In western Canada (especially rural areas in most municipal districts in Alberta), a range road (abbreviated ""Rge.  Rd."
administrative division,en,s,"Administrative divisions (also administrative units, administrative regions, #-level subdivisions, subnational entities, or constituent states, as well as many similar generic terms) are geographical areas into which a particular independent sovereign state is divided.  Such a unit usually has an administrative authority with the power to take administrative or policy decisions for its area.  Description Usually, sovereign states have several levels of administrative division."
Celtic languages,en,s,"The Baltic languages are a branch of the Indo-European language family spoken natively or as a second language by a population of about 6. 5–7. 0 million people mainly in areas extending east and southeast of the Baltic Sea in Europe.  Together with the Slavic languages, they form the Balto-Slavic branch of the Indo-European family."
Gothic Revival architecture,en,s,"Gothic Revival (also referred to as Victorian Gothic or neo-Gothic) is an architectural movement that after a gradual build-up beginning in the second half of the 17th century became a widespread movement in the first half of the 19th century, mostly in England.  Increasingly serious and learned admirers sought to revive medieval Gothic architecture, intending to complement or even supersede the neoclassical styles prevalent at the time."
Central Europe,en,s,"Central Europe is a geographical region of Europe between Eastern, Southern, Western and Northern Europe.  Central Europe is known for its cultural diversity; however, countries in this region also share historical and cultural similarities. Whilst the region is variously defined, it often includes Austria, Croatia, the Czech Republic, Germany, Hungary, Liechtenstein, Poland, Slovakia, Slovenia, Switzerland and Transylvania as part of Romania."
Order of Merit of the Italian Republic,en,s,"The Order of Merit of the Italian Republic (Italian: Ordine al Merito della Repubblica Italiana) is the most senior Italian order of merit.  It was established in 1951 by the second President of the Italian Republic, Luigi Einaudi."
Gloucestershire,en,s,"Gloucestershire (  GLOST-ər-shər,  -⁠sheer; abbreviated Glos. ) is a ceremonial county in South West England.  It is bordered by Herefordshire to the north-west, Worcestershire to the north, Warwickshire to the north-east, Oxfordshire to the east, Wiltshire to the south, Bristol and Somerset to the south-west, and the Welsh county of Monmouthshire to the west.  The city of Gloucester is the largest settlement and the county town."
Head of the Commonwealth,en,s,"The Head of the Commonwealth is the ceremonial leader who symbolises ""the free association of independent member nations"" of the Commonwealth of Nations, an intergovernmental organisation that currently comprises 56 sovereign states.  There is no set term of office or term limit and the role itself has no constitutional relevance to any of the member states within the Commonwealth.  The position is currently held by King Charles III."
Gothic architecture,en,s,"Gothic architecture is an architectural style that was prevalent in Europe from the late 12th to the 16th century, during the High and Late Middle Ages, surviving into the 17th and 18th centuries in some areas.  It evolved from Romanesque architecture and was succeeded by Renaissance architecture.  It originated in the Île-de-France and Picardy regions of northern France.  The style at the time was sometimes known as opus Francigenum (lit."
local government,en,s,"Local government is a generic term for the lowest tiers of governance or public administration within a particular sovereign state.  Local governments typically constitute a subdivision of a higher-level political or administrative unit, such as a nation or state.  Local governments generally act within the powers and functions assigned to them by law or directives of a higher level of government."
London Borough of Southwark,en,s,The London Borough of Southwark (  SUDH-ərk) in South London forms part of Inner London and is connected by bridges across the River Thames to the City of London and the London Borough of Tower Hamlets.  It was created in 1965 when three smaller council areas were amalgamated under the London Government Act 1963.  All districts of the area are within the London postal district.  It is governed by Southwark London Borough Council.
North Southwark and Bermondsey (UK Parliament constituency),en,s,North Southwark and Bermondsey was a parliamentary constituency which returned one Member of Parliament (MP) to the House of Commons of the Parliament of the United Kingdom.  The constituency was created for the 1997 general election. Minor boundary changes occurred for the 2010 general election; the constituency was renamed Bermondsey and Old Southwark.
List of World Heritage Sites in Europe,en,s,"This is a list of the lists of World Heritage Sites.  A World Heritage Site is a place that is listed by the United Nations Educational, Scientific and Cultural Organization (UNESCO) as having special cultural or physical significance."
Renzo Piano,en,s,"Renzo Piano  (Italian: [ˈrɛntso ˈpjaːno]; born 14 September 1937) is an Italian architect.  His notable buildings include the Centre Georges Pompidou in Paris (with Richard Rogers, 1977), The Shard in London (2012), the Whitney Museum of American Art in New York City (2015), İstanbul Modern in Istanbul (2022) and Stavros Niarchos Foundation Cultural Center in Athens (2016).  He won the Pritzker Architecture Prize in 1998. Piano has been a Senator for Life in the Italian Senate since 2013."
Shad Thames,en,s,"Shad Thames is a historic riverside street next to Tower Bridge in Bermondsey, London, England, and is also an informal name for the surrounding area.  In the 19th century, the area included the largest warehouse complex in London.  Location The street Shad Thames has Tower Bridge at its west end and runs along the south side of the River Thames, set back behind a row of converted warehouses; it then takes a 90-degree turn south along St Saviour's Dock.  The street is partly cobbled."
website,en,s,"A website (also written as a web site) is one or more web pages and related content that is identified by a common domain name and published on at least one web server.  Websites are typically dedicated to a particular topic or purpose, such as news, education, commerce, entertainment, or social media.  Hyperlinking between web pages guides the navigation of the site, which often starts with a home page.  The most-visited sites are Google, YouTube, and Facebook."
London,en,s,"London is the capital and largest city of both England and the United Kingdom, with a population of 8,866,180 in 2022.  The wider metropolitan area is the largest in Western Europe, with a population of 14. 9 million.  London stands on the River Thames in southeast England, at the head of a 50-mile (80 km) estuary down to the North Sea, and has been a major settlement for nearly 2,000 years."
Giorgio Napolitano,en,s,"Giorgio Napolitano (Italian: [ˈdʒordʒo napoliˈtaːno]; 29 June 1925 – 22 September 2023) was an Italian politician who served as the 11th president of Italy from 2006 to 2015, the first to be re-elected to the office.  In office for 8 years and 244 days, he was the longest-serving president, until the record was surpassed by Sergio Mattarella in 2023.  He also was the longest-lived president in the history of the Italian Republic, which has been in existence since 1946."
Emporis,en,s,"Emporis was a real estate data mining company with headquarters in Hamburg, Germany.  The company collected data and photographs of buildings worldwide, which were published in an online database from 2000 to September 2022. On 12 September 2022, the managing director of CoStar Europe posted a letter on Emporis. com, informing its community members of the decision which had been made to retire the Emporis community platform, effective 13 September 2022."
London borough,en,s,"The London boroughs are the 32 local authority districts that together with the City of London make up the administrative area of Greater London, England; each is governed by a London borough council.  The present London boroughs were all created at the same time as Greater London on 1 April 1965 by the London Government Act 1963 (c.  33) and are a type of local government district.  Twelve were designated as Inner London boroughs and twenty as Outer London boroughs."
Irvine Sellar,en,s,"Irvine Gerald Sellar (3 September 1934 – 26 February 2017) was an English fashion retailer, and later property developer.  He was the founder of the Sellar Property Group, and the developer of The Shard.  Early life Sellar was born on 3 September 1934 in London, England. He worked with his father on markets in and around the East End of London.  His family was Jewish, and he grew up in Southgate, London.  Sellar left school at 16 and studied accounting but decided to start working instead."
State of Qatar,en,s,"Qatar,  officially the State of Qatar, is a country in West Asia.  It occupies the Qatar Peninsula on the northeastern coast of the Arabian Peninsula in the Middle East; it shares its sole land border with Saudi Arabia to the south, with the rest of its territory surrounded by the Persian Gulf.  The Gulf of Bahrain, an inlet of the Persian Gulf, separates Qatar from nearby Bahrain.  The capital is Doha, home to over 80% of the country's inhabitants."
Commonwealth heads of government,en,s,"The Commonwealth Heads of Government (CHOG) is the collective name for the government leaders of the nations with membership in the Commonwealth of Nations.  They are invited to attend Commonwealth Heads of Government Meetings every two years, with most countries being represented by either their head of government or head of state."
Commonwealth realm,en,s,
Sellar Property Group,en,s,"Sellar Property Group is a British property group.  It is headquartered at 42-44 Bermondsey Street, London.  Sellar was previously headquartered in Park Street, Mayfair.  Developments The company is notable for its project Shard London Bridge, built in London Borough of Southwark, United Kingdom."
London boroughs,en,s,
Old Tower Without,en,s,"Old Tower Without was an extra-parochial area, usually described as a ""precinct"", and after 1858 a civil parish in the metropolitan area of London, England. Old Tower Without was outside the jurisdiction of either the City of London or the County of Middlesex, and was within the Liberty of the Tower which had separate county administration and court of quarter sessions. It was within the bills of mortality area but did not give returns of burials and baptisms."
Bermondsey and Old Southwark (UK Parliament constituency),en,s,"Bermondsey and Old Southwark is a constituency in the House of Commons of the UK Parliament.  Since 2015, it has been represented by Neil Coyle, who was elected as a Labour MP but was suspended from the party from 2022 to 2023 following an accusation of racism."
Proto-Indo-European language,en,s,"Proto-Indo-European (PIE) is the reconstructed common ancestor of the Indo-European language family.  No direct record of Proto-Indo-European exists; its proposed features have been derived by linguistic reconstruction from documented Indo-European languages. Far more work has gone into reconstructing PIE than any other proto-language, and it is the best understood of all proto-languages of its age."
district,en,s,"A district is a type of administrative division that in some countries is managed by the local government.  Across the world, areas known as ""districts"" vary greatly in size, spanning regions or counties, several municipalities, subdivisions of municipalities, school district, or political district.  By country or territory = Afghanistan =In Afghanistan, a district (Persian / Pashto: ولسوالۍ Wuleswali) is a subdivision of a province.  There are almost 400 districts in the country."
The Shard,en,s,
Gloucester,en,s,"Gloucester (  GLOS-tər) is a cathedral city and the county town of Gloucestershire in the South West of England.  Gloucester lies on the River Severn, between the Cotswolds to the east and the Forest of Dean to the west; it is sited 19 miles (31 km) from Monmouth, 33 miles (53 km) from Bristol, and 17 miles (27 km) east of the border with Wales.  Gloucester has a population of around 132,000, including suburban areas."
World Heritage Committee,en,s,"The World Heritage Committee is a committee of the United Nations Educational, Scientific and Cultural Organization that selects the sites to be listed as UNESCO World Heritage Sites, including the World Heritage List and the List of World Heritage in Danger, defines the use of the World Heritage Fund and allocates financial assistance upon requests from States Parties."
municipality,en,s,"A municipality is usually a single administrative division having corporate status and powers of self-government or jurisdiction as granted by national and regional laws to which it is subordinate. The term municipality may also mean the governing body of a given municipality.  A municipality is a general-purpose administrative subdivision, as opposed to a special-purpose district."
Sovereign state,en,s,"A sovereign state is a state that has the supreme sovereignty or ultimate authority over a territory.  It is commonly understood that a sovereign state is independent.  When referring to a specific polity, the term ""country"" may also refer to a constituent country, or a dependent territory. A sovereign state is usually required to have a permanent population, defined territory, a government not under another, and the capacity to interact with other sovereign states."
Proto-Celtic,en,s,"Proto-Celtic, or Common Celtic, is the hypothetical ancestral proto-language of all known Celtic languages, and a descendant of Proto-Indo-European.  It is not attested in writing but has been partly reconstructed through the comparative method.  Proto-Celtic is generally thought to have been spoken between 1300 and 800 BC, after which it began to split into different languages.  Proto-Celtic is often associated with the Urnfield culture and particularly with the Hallstatt culture."
central business district,en,s,"A central business district (CBD) is the commercial and business center of a city.  It contains commercial space and offices, and in larger cities will often be described as a financial district.  Geographically, it often coincides with the ""city centre"" or ""downtown"".  However, these concepts are not necessarily synonymous: many cities have a central business district located away from its traditional city center, and there may be multiple CBDs within a single urban area."
Hamburg,en,s,"A hamburger, or simply a burger, is a dish consisting of fillings—usually a patty of ground meat, typically beef—placed inside a sliced bun or bread roll.  The patties are often served with cheese, lettuce, tomato, onion, pickles, bacon, or chilis with condiments such as ketchup, mustard, mayonnaise, relish or a ""special sauce"", often a variation of Thousand Island dressing, and are frequently placed on sesame seed buns.  A hamburger patty topped with cheese is called a cheeseburger."
Neil Coyle,en,s,"Neil Alan John Coyle (born 30 December 1978) is a British Labour politician who has served as the Member of Parliament (MP) for Bermondsey and Old Southwark since 2015. Coyle has at times been the subject of debate during his time in parliament, after being accused of being abusive to constituents, racist to journalists, and guilty of bullying Labour parliamentary staff.  He has apologised for his conduct and been open about his battle with alcoholism."
Senate of the Republic (Italy),en,s,"The Senate of the Republic (Italian: Senato della Repubblica), or simply the Senate (Italian: Senato, [seˈnaːto]), is the upper house of the bicameral Italian Parliament, the lower house being the Chamber of Deputies.  The two houses together form a perfect bicameral system, meaning they perform identical functions, but do so separately."
