id,lang,shape,content
public domain,en,s,"The public domain (PD) consists of all the creative work to which no exclusive intellectual property rights apply.  Those rights may have expired, been forfeited, expressly waived, or may be inapplicable.  Because no one holds the exclusive rights, anyone can legally use or reference those works without permission. As examples, the works of William Shakespeare, Ludwig van Beethoven, Miguel de Cervantes, Zoroaster, Lao Zi, Confucius, Aristotle,  L."
Darwinism,en,s,"Darwinism is a term used to describe a theory of biological evolution developed by the English naturalist Charles Darwin (1809–1882) and others.  The theory states that all species of organisms arise and develop through the natural selection of small, inherited variations that increase the individual's ability to compete, survive, and reproduce."
irreversible process,en,s,"In science, a process that is not reversible is called irreversible.  This concept arises frequently in thermodynamics.  All complex natural processes are irreversible, although a phase transition at the coexistence temperature (e. g.  melting of ice cubes in water) is well approximated as reversible."
Latins (Italic tribe),en,s,"The Latins (Latin: Latinus (m. ), Latina (f. ), Latini (m.  pl. )), sometimes known as the Latials or Latians, were an Italic tribe that included the early inhabitants of the city of Rome (see Roman people).  From about 1000 BC, the Latins inhabited the small region known to the Romans as Old Latium (in Latin Latium vetus), the area in the Italian Peninsula between the river Tiber and the promontory of Mount Circeo 100 km (62 mi) southeast of Rome."
lunar calendar,en,s,"A lunar calendar is a calendar based on the monthly cycles of the Moon's phases (synodic months, lunations), in contrast to solar calendars, whose annual cycles are based on the solar year.  The most widely observed purely lunar calendar is the Islamic calendar.  A purely lunar calendar is distinguished from a lunisolar calendar, whose lunar months are brought into alignment with the solar year through some process of intercalation – such as by insertion of a leap month."
Invention,en,s,"An invention is a unique or novel device, method, composition, idea or process.  An invention may be an improvement upon a machine, product, or process for increasing efficiency or lowering cost.  It may also be  an entirely new concept.  If an idea is unique enough either as a stand-alone invention or as a significant improvement over the work of others, it can be patented."
day,en,s,"May is the fifth month of the year in the Julian  and Gregorian calendars.   Its length is 31 days. May is a month of spring in the Northern Hemisphere, and autumn in the Southern Hemisphere.  Therefore, May in the Southern Hemisphere is the seasonal equivalent of November in the Northern Hemisphere and vice versa.  Late May typically marks the start of the summer vacation season in the United States (Memorial Day) and Canada (Victoria Day) that ends on Labor Day, the first Monday of September."
entity,en,s,
Thermodynamic system,en,s,"A thermodynamic system is a body of matter and/or radiation separate from its surroundings that can be studied using the laws of thermodynamics. Thermodynamic systems can be passive and active according to internal processes.  According to internal processes, passive systems and active systems are distinguished: passive, in which there is a redistribution of available energy, active, in which one type of energy is converted into another."
Midtown Manhattan,en,s,"Midtown Manhattan is the central portion of the New York City borough of Manhattan, and serves as the city's primary central business district.  Midtown is home to some of the city's most prominent buildings, including the Empire State Building, the Chrysler Building, the Hudson Yards Redevelopment Project, the headquarters of the United Nations, Grand Central Terminal, and Rockefeller Center, as well as several prominent tourist destinations, including Broadway, Times Square, and Koreatown."
year,en,s,"A year is the time taken for astronomical objects to complete one orbit.  For example, a year on Earth is the time taken for Earth to revolve around the Sun.  Generally, a year is taken to mean a calendar year, but the word is also used for periods loosely associated with the calendar or astronomical year, such as the seasonal year, the fiscal year, the academic year, etc.  The term can also be used in reference to any long period or cycle, such as the Great Year."
Astronomical object,en,s,"An astronomical object, celestial object, stellar object or heavenly body is a naturally occurring physical entity, association, or structure that exists within the observable universe.  In astronomy, the terms object and body are often used interchangeably."
recollection,en,s,"Recall in memory refers to the mental process of retrieval of information from the past.  Along with encoding and storage, it is one of the three core processes of memory.  There are three main types of recall: free recall, cued recall and serial recall.  Psychologists test these forms of recall as a way to study the memory processes of humans and animals. Two main theories of the process of recall are the two-stage theory and the theory of encoding specificity."
Earth,en,s,"Death is the end of life;  the irreversible cessation of all biological functions that sustain a living organism.  The remains of a former organism normally begin to decompose shortly after death.  Death eventually and inevitably occurs in all organisms.  Some organisms, such as Turritopsis dohrnii, are biologically immortal; however, they can still die from means other than aging."
philosophy,en,s,"Philosophy ('love of wisdom' in Ancient Greek) is a systematic study of general and fundamental questions concerning topics like existence, reason, knowledge, value, mind, and language.  It is a rational and critical inquiry that reflects on its own methods and assumptions. Historically, many of the individual sciences, such as physics and psychology, formed part of philosophy.  However, they are considered separate academic disciplines in the modern sense of the term."
celestial bodies,en,s,"An astronomical object, celestial object, stellar object or heavenly body is a naturally occurring physical entity, association, or structure that exists within the observable universe.  In astronomy, the terms object and body are often used interchangeably."
memory,en,s,"Memory is the faculty of the mind by which data or information is encoded, stored, and retrieved when needed.  It is the retention of information over time for the purpose of influencing future action.  If past events could not be remembered, it would be impossible for language, relationships, or personal identity to develop.  Memory loss is usually described as forgetfulness or amnesia."
nonbeing,en,s,"In metaphysics and ontology, nonexistent objects are a concept advanced by Austrian philosopher Alexius Meinong in the 19th and 20th centuries within a ""theory of objects"".  He was interested in intentional states which are directed at nonexistent objects.  Starting with the ""principle of intentionality"", mental phenomena are intentionally directed towards an object.  People may imagine, desire or fear something that does not exist."
Merriam-Webster,en,s,"Merriam-Webster, Incorporated is an American company that publishes reference books and is mostly known for its dictionaries.  It is the oldest dictionary publisher in the United States. In 1831, George and Charles Merriam founded the company as G & C Merriam Co.  in Springfield, Massachusetts.  In 1843, after Noah Webster died, the company bought the rights to An American Dictionary of the English Language from Webster's estate.  All Merriam-Webster dictionaries trace their lineage to this source."
robots,en,s,"A robot is a machine—especially one programmable by a computer—capable of carrying out a complex series of actions automatically.  A robot can be guided by an external control device, or the control may be embedded within.  Robots may be constructed to evoke human form, but most robots are task-performing machines, designed with an emphasis on stark functionality, rather than expressive aesthetics."
Ancient Rome,en,s,
Budapest,en,s,"Budapest is the capital and most populous city of Hungary.  It is the ninth-largest city in the European Union by population within city limits and the second largest city on the Danube river.  The city has an estimated population of 1,752,286 over a land area of about 525 square kilometres (203 square miles)."
list of companies of the United States by state,en,s,.
New York City,en,s,
lunar month,en,s,"In lunar calendars, a lunar month is the time between two successive syzygies of the same type: new moons or full moons.  The precise definition varies, especially for the beginning of the month.  Variations In Shona, Middle Eastern, and European traditions, the month starts when the young crescent moon first becomes visible, at evening, after conjunction with the Sun one or two days before that evening (e. g. , in the Islamic calendar)."
logic,en,s,"In botany, the trunk (or bole) is the stem and main wooden axis of a tree, which is an important feature in tree identification, and which often differs markedly from the bottom of the trunk to the top, depending on the species. The trunk is the most important part of the tree for timber production.  Occurrence Trunks occur both in ""true"" woody plants and non-woody plants such as palms and other monocots, though the internal physiology is different in each case."
new moon,en,s,"In astronomy, the new moon is the first lunar phase, when the Moon and Sun have the same ecliptic longitude.  At this phase, the lunar disk is not visible to the naked eye, except when it is silhouetted against the Sun during a solar eclipse. The original meaning of the term 'new moon', which is still sometimes used in calendrical, non-astronomical contexts, is the first visible crescent of the Moon after conjunction with the Sun."
orientation (geometry),en,s,"In geometry, the orientation, attitude, bearing, direction, or angular position of an object – such as a line, plane or rigid body – is part of the description of how it is placed in the space it occupies. More specifically, it refers to the imaginary rotation that is needed to move the object from a reference placement to its current placement."
Sol (Roman mythology),en,s,"Sol is the personification of the Sun and a god in ancient Roman religion.  It was long thought that Rome actually had two different, consecutive sun gods: The first, Sol Indiges (Latin: the deified sun), was thought to have been unimportant, disappearing altogether at an early period.  Only in the late Roman Empire, scholars argued, did the solar cult re-appear with the arrival in Rome of the Syrian Sol Invictus (Latin: the unconquered sun), perhaps under the influence of the Mithraic mysteries."
machine,en,s,"A machine is a physical system that uses power to apply forces and control movement to perform an action.  The term is commonly applied to artificial devices, such as those employing engines or motors, but also to natural biological macromolecules, such as molecular machines."
Embodied cognition,en,s,"Embodied cognition is the concept suggesting that many features of cognition are shaped by the state and capacities of the organism.  The cognitive features include a wide spectrum of cognitive functions, such as perception biases, memory recall, comprehension and high-level mental constructs (such as meaning attribution and categories) and performance on various cognitive tasks (reasoning or judgment)."
calendar,en,s,"A calendar is a system of organizing days.  This is done by giving names to periods of time, typically days, weeks, months and years.  A date is the designation of a single and specific day within such a system.  A calendar is also a physical record (often paper) of such a system.  A calendar can also mean a list of planned events, such as a court calendar, or a partly or fully chronological list of documents, such as a calendar of wills."
lunar phase,en,s,"A lunar phase or Moon phase is the apparent shape of the Moon's directly sunlit portion as viewed from the Earth (because the Moon is tidally locked with the Earth, the same hemisphere is always facing the Earth).  In common usage, the four major phases are the new moon, the first quarter, the full moon and the last quarter; the four minor phases are waxing crescent, waxing gibbous, waning gibbous, and waning crescent."
evolutionary robotics,en,s,"Evolutionary robotics is an embodied approach to Artificial Intelligence (AI) in which robots are automatically designed using Darwinian principles of natural selection.  The design of a robot, or a subsystem of a robot such as a neural controller, is optimized against a behavioral goal (e. g.  run as fast as possible)."
central business district,en,s,"A central business district (CBD) is the commercial and business center of a city.  It contains commercial space and offices, and in larger cities will often be described as a financial district.  Geographically, it often coincides with the ""city centre"" or ""downtown"".  However, these concepts are not necessarily synonymous: many cities have a central business district located away from its traditional city center, and there may be multiple CBDs within a single urban area."
George Merriam,en,s,"George Merriam (; January 20, 1803 –  June 22, 1880) was an American publisher.  With his brother Charles, he founded G.  and C.  Merriam, which would eventually become Merriam-Webster, Inc. The Merriam family were printers, book manufacturers, and booksellers in Worcester County in the latter part of the 18th century."
rotation,en,s,"Rotation or rotational motion is the circular movement of an object around a central line, known as an axis of rotation.  A plane figure can rotate in either a clockwise or counterclockwise sense around a perpendicular axis intersecting anywhere inside or outside the figure at a center of rotation.  A solid figure has an infinite number of possible axes and angles of rotation, including chaotic rotation (between arbitrary orientations), in contrast to rotation around a fixed axis."
