id,lang,shape,content
Philipp Friedrich Gmelin,en,s,"Philipp Friedrich Gmelin (19 August 1721 – 9 May 1768) was a professor of botany and chemistry.  He studied the chemistry of antimony and wrote texts on the pancreatic ducts, mineral waters, and botany. He was a brother of the famous traveler Johann Georg Gmelin.  He obtained his Master's degree in 1742, at the University of Tübingen under Burchard Mauchart. He was elected a Fellow of the Royal Society in 1758. He was the father of the naturalist Johann Friedrich Gmelin."
Jena,en,s,"Jens is a male given name and a Danish, Dutch, German, Norwegian, Swedish, Icelandic, Faroese and Frisian derivative of Johannes.  It was the top given name for boys in Denmark in 2008."
nomen nudum,en,s,"In taxonomy, a nomen nudum ('naked name'; plural nomina nuda) is a designation which looks exactly like a scientific name of an organism, and may have originally been intended to be one, but it has not been published with an adequate description.  This makes it a ""bare"" or ""naked"" name, which cannot be accepted as it stands.  A largely equivalent but much less frequently used term is nomen tantum (""name only"")."
Paris,en,s,"Paris (French pronunciation: [paʁi] ) is the capital and largest city of France.  With an official estimated population of 2,102,650 residents in January 2023 in an area of more than 105 km2 (41 sq mi), Paris is the fourth-largest city in the European Union and the 30th most densely populated city in the world in 2022.  Since the 17th century, Paris has been one of the world's major centres of finance, diplomacy, commerce, culture, fashion, and gastronomy."
Swedish calendar,en,s,"The Swedish calendar (Swedish: svenska kalendern) or Swedish style (svenska stilen) was a calendar in use in Sweden and its possessions from 1 March 1700 until 30 February 1712.  It was one day ahead of the Julian calendar and ten days behind the Gregorian calendar.  Easter was calculated astronomically, with a minor exception, from 1740 to 1844."
subcommittee,en,s,"A committee or commission is a body of one or more persons subordinate to a deliberative assembly or other form of organization.  A committee may not itself be considered to be a form of assembly or a decision making body.  Usually, an assembly or organization sends matters to a committee as a way to explore them more fully than would be possible if the whole assembly or organization were considering them."
Stuttgart,en,s,"Stuttgart (German: [ˈʃtʊtɡaʁt] ; Swabian: Schduagert [ˈʒ̊d̥ua̯ɡ̊ɛʕd̥]; names in other languages) is the capital and largest city of the German state of Baden-Württemberg.  It is located on the Neckar river in a fertile valley known as the Stuttgarter Kessel (Stuttgart Cauldron) and lies an hour from the Swabian Jura and the Black Forest.  Stuttgart has a population of 632,865 as of 2022, making it the sixth largest city in Germany, while over 2."
Reproduction,en,s,"Reproduction (or procreation or breeding) is the biological process by which new individual organisms – ""offspring"" – are produced from their ""parent"" or parents.  There are two forms of reproduction: asexual and sexual. In asexual reproduction, an organism can reproduce without the involvement of another organism.  Asexual reproduction is not limited to single-celled organisms.  The cloning of an organism is a form of asexual reproduction."
Haverford College,en,s,"Haverford College ( HAV-ər-fərd) is a private liberal arts college in Haverford, Pennsylvania.  It was founded as a men's college in 1833 by members of the Religious Society of Friends (Quakers).  Haverford began accepting non-Quakers in 1849 and women in 1980. The college offers Bachelor of Arts and Bachelor of Science degrees in 31 majors across humanities, social sciences and natural sciences disciplines."
Carl Linnaeus,en,s,"Carl Linnaeus (23 May 1707 – 10 January 1778), also known after ennoblement in 1761 as Carl von Linné, was a Swedish biologist and physician who formalised binomial nomenclature, the modern system of naming organisms.  He is known as the ""father of modern taxonomy"".  Many of his writings were in Latin; his name is rendered in Latin as Carolus Linnæus and, after his 1761 ennoblement, as Carolus a Linné."
Kingdom of France,en,s,"The Kingdom of France is the historiographical name or umbrella term given to various political entities of France in the medieval and early modern period.  It was one of the most powerful states in Europe from the High Middle Ages to 1848 during its dissolution.  It was also an early colonial power, with colonies in Asia and Africa, and the largest being New France in North America centred around the Great Lakes."
First appearance datum,en,s,"First appearance datum (FAD) is a term used by geologists and paleontologists to designate the first appearance of a species in the geologic record.  FADs are determined by identifying the geologically oldest fossil discovered, to date, of a particular species.  A related term is last appearance datum (LAD), the last appearance of a species in the geologic record.  FADs are frequently used to designate segments in the geologic time scale."
André Marie Constant Duméril,en,s,"André Marie Constant Duméril (1 January 1774 – 14 August 1860) was a French zoologist.  He was professor of anatomy at the Muséum national d'histoire naturelle from 1801 to 1812, when he became professor of herpetology and ichthyology.  His son Auguste Duméril was also a zoologist, and the author citation Duméril is used for both André and his son.  Life André Marie Constant Duméril was born on 1 January 1774 in Amiens and died on 14 August 1860 in Paris."
10th edition of Systema Naturae,en,s,"The 10th edition of Systema Naturae (Latin; the English title is A General System of Nature) is a book written by Swedish naturalist Carl Linnaeus and published in two volumes in 1758 and 1759, which marks the starting point of zoological nomenclature.  In it, Linnaeus introduced binomial nomenclature for animals, something he had already done for plants in his 1753 publication of Species Plantarum."
rock strata,en,s,"In geology and related fields, a stratum (pl. : strata) is a layer of rock or sediment characterized by certain lithologic properties or attributes that distinguish it from adjacent layers from which it is separated by visible surfaces known as either bedding surfaces or bedding planes."
European Union,en,s,"The European Union (EU) is a supranational political and economic union of 27 member states that are located primarily in Europe.  The Union has a total area of 4,233,255 km2 (1,634,469 sq mi) and an estimated total population of over 449 million.  The EU has often been described as a sui generis political entity combining the characteristics of both a federation and a confederation. Containing 5."
species,en,s,"A species (pl. : species) is a population of organisms in which any two individuals of the appropriate sexes or mating types can produce fertile offspring, typically by sexual reproduction.  It is the basic unit of classification and a taxonomic rank of an organism, as well as a unit of biodiversity.  Other ways of defining species include their karyotype, DNA sequence, morphology, behaviour, or ecological niche."
stratigraphy,en,s,"Stratigraphy is a branch of geology concerned with the study of rock layers (strata) and layering (stratification).  It is primarily used in the study of sedimentary and layered volcanic rocks. Stratigraphy has three related subfields: lithostratigraphy (lithologic stratigraphy), biostratigraphy (biologic stratigraphy), and chronostratigraphy (stratigraphy by age)."
Pleurodira,en,s,"The Pleurodira are one of the two living suborders of turtles, the other being the Cryptodira.  The division between these two suborders represents a very deep evolutionary divide between two very different types of turtles.  The physical differences between them, although anatomical and largely internal, are nonetheless significant, and the zoogeographic implications of them are substantial."
Redcliff Point,en,s,"Redcliff Point is on the south coast of England, to the east of Weymouth in Dorset.  It lies just past the eastern end of the sweeping Weymouth Bay on the Jurassic Coast, a UNESCO World Heritage landscape known for its geology.  Fossils can be found in the Upper Oxford Clay in this area. The cliff looks over to the Isle of Portland.  It is so-called because of the red colouring of the cliffs at this point. Close by to the west are the Broadrock cliffs and Bowleaze Cove."
August Friedrich Schweigger,en,s,"August Friedrich Schweigger (8 September 1783 – 28 June 1821) was a German naturalist born in Erlangen.  He was the younger brother of scientist Johann Salomo Christoph Schweigger (1779-1857). He studied medicine, zoology and botany at Erlangen, and following graduation spent time in Berlin (from 1804) and Paris (from 1806).  In 1809 he was appointed professor of botany and medicine at the University of Königsberg."
Axis (anatomy),en,s,"In anatomy,  the axis (from Latin axis, ""axle"") is the second cervical vertebra (C2) of the spine, immediately inferior to the atlas, upon which the head rests.  The spinal cord passes through the axis. The defining feature of the axis is its strong bony protrusion known as the dens, which rises from the superior aspect of the bone.  Structure The body is deeper in front or in the back and is prolonged downward anteriorly to overlap the upper and front part of the third vertebra."
Eastern long-necked turtle,en,s,"The eastern long-necked turtle (Chelodina longicollis) is an east Australian species of snake-necked turtle that inhabits a wide variety of water bodies and is an opportunistic feeder.  It is a side-necked turtle (Pleurodira), meaning that it bends its head sideways into its shell rather than pulling it directly back."
tetrapod,en,s,"A tetrapod (; from Ancient Greek τετρα- (tetra-) 'four'  and πούς (poús) 'foot') is any four-limbed vertebrate animal of the superclass Tetrapoda ().  Tetrapods include all extant and extinct amphibians and amniotes, with the latter in turn evolving into two major clades, the sauropsids (reptiles, including dinosaurs and therefore birds) and synapsids (extinct pelycosaurs, therapsids and all extant mammals, including humans)."
sex,en,s,"Java Platform, Standard Edition (Java SE) is a computing platform for development and deployment of portable code for desktop and server environments.  Java SE was formerly known as Java 2 Platform, Standard Edition (J2SE). The platform uses the Java programming language and is part of the Java software-platform family."
animal,en,s,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia ().  With few exceptions, animals consume organic material, breathe oxygen, have myocytes and are able to move, can reproduce sexually, and grow from a hollow sphere of cells, the blastula, during embryonic development.  Animals form a clade, meaning that they arose from a single common ancestor. Over 1. 5 million living animal species have been described, of which around 1."
Tübingen,en,s,"Tübingen (German: [ˈtyːbɪŋən] ; Swabian: Dibenga) is a traditional university city in central Baden-Württemberg, Germany.  It is situated 30 km (19 mi) south of the state capital, Stuttgart, and developed on both sides of the Neckar and Ammer rivers.  As of 2014 about one in three of the 90,000 people living in Tübingen is a student.  As of the 2018/2019 winter semester, 27,665 students attend the Eberhard Karl University of Tübingen."
Beauval Zoo,en,s,"The ZooParc de Beauval (French pronunciation: [zopaʁk də boval]), more commonly called Beauval Zoo or, more simply, Beauval, is a French zoological park located in Saint-Aignan-sur-Cher, Centre-Val de Loire.  It features more than 35,000 animals on 40 hectares, which is one of the largest animal collections in France and in Europe.  Created in 1980 by Françoise Delord, it is now run by her son, Rodolphe Delord, and managed by his family, which owns most of the capital."
Cardioceras,en,s,"Cardioceras is an extinct ammonite genus belonging to the family Cardioceratidae.  These fast-moving nektonic carnivores lived during the Jurassic period, Oxfordian age.  Description Shells of Cardioceras species can reach a diameter of 20–25 millimetres (0. 79–0. 98 in).  The shape is circular, with ribs and a prominent ridge along the dorsal edge.  Distribution Fossils of species within this genus have been found in the Jurassic of France, Germany, Poland, Russia, the United Kingdom and Alaska."
Germany,en,s,"Germany, officially the Federal Republic of Germany, is a country in Central Europe.  It lies between the Baltic and North Sea to the north and the Alps to the south.  Its sixteen constituent states have a total population of over 82 million in an area of 357,596 km2 (138,069 sq mi), making it the most populous member state of the European Union."
Julian calendar,en,s,"The Julian calendar is a solar calendar of 365 days in every year with an additional leap day every fourth year (without exception).  The Julian calendar is still used as a religious calendar in parts of the Eastern Orthodox Church and in parts of Oriental Orthodoxy as well as by the Amazigh people (also known as the Berbers).  The Julian calendar was proposed in 46 BC by (and takes its name from) Julius Caesar, as a reform of the earlier Roman calendar, which was largely a lunisolar one."
Göttingen,en,s,"Göttingen (, US also ; German: [ˈɡœtɪŋən] ; Low German: Chöttingen) is a university city in Lower Saxony, central Germany, the capital of the eponymous district.  The River Leine runs through it.  At the end of 2019, the population was 118,911.  Overview The origins of Göttingen lay in a village called Gutingi, first mentioned in a document in 953 AD.  The city was founded northwest of this village, between 1150 and 1200 AD, and adopted its name."
Poole,en,s,"A swimming pool, swimming bath, wading pool, paddling pool, or simply pool, is a structure designed to hold water to enable swimming or other leisure activities.  Pools can be built into the ground (in-ground pools) or built above ground (as a freestanding construction or as part of a building or other larger structure), and may be found as a feature aboard ocean-liners and cruise ships."
Muschelkalk,en,s,"The Muschelkalk (German for ""shell-bearing limestone""; French: calcaire coquillier) is a sequence of sedimentary rock strata (a lithostratigraphic unit) in the geology of central and western Europe.  It has a Middle Triassic (240 to 230 million years) age and forms the middle part of the three-part Germanic Trias (that gives the Triassic its name) lying above the older Buntsandstein and below the younger Keuper."
Bundespräsidialamt,en,s,"The Bundespräsidialamt (German: [ˌbʊndəspʁɛziˈdi̯aːlˌʔamt] ; ""Office of the Federal President"") is a federal agency (German: ""oberste Bundesbehörde"") of the Government of Germany assisting the President of Germany. The office building is situated beneath Bellevue Palace in Tiergarten in Berlin.  The seat was formerly in Bonn in the Villa Hammerschmidt and switched to Berlin with the Berlin-Bonn Act.  The agency moved into the actual building in 1998."
England,en,s,"England is a country that is part of the United Kingdom.  It is located on the island of Great Britain, of which it covers about 62%, and more than 100 smaller adjacent islands.  It has land borders with Scotland to the north and Wales to the west, and is otherwise surrounded by the North Sea to the east, the English Channel to the south, the Celtic Sea to the south-west, and the Irish Sea to the west.  Continental Europe lies to the south-east, and Ireland to the west."
Atlas (anatomy),en,s,"In anatomy, the atlas (C1) is the most superior (first) cervical vertebra of the spine and is located in the neck.  The bone is named for Atlas of Greek mythology, just as Atlas bore the weight of the heavens, the first cervical vertebra supports the head.  However, the term atlas was first used by the ancient Romans for the seventh cervical vertebra (C7) due to its suitability for supporting burdens."
Holy Roman Empire,en,s,"The Holy Roman Empire, also known as the Holy Roman Empire of the German Nation after 1512, was a polity in Central and Western Europe, usually headed by the Holy Roman Emperor.  It developed in the Early Middle Ages and lasted for almost a thousand years until its dissolution in 1806 during the Napoleonic Wars."
Berlin,en,s,"Berlin ( bur-LIN, German: [bɛʁˈliːn] ) is the capital and largest city of Germany, both by area and by population.  Its more than 3. 85 million inhabitants make it the European Union's most populous city, as measured by population within city limits.  The city is also one of the states of Germany, and is the third smallest state in the country in terms of area.  Berlin is surrounded by the state of Brandenburg, and Brandenburg's capital Potsdam is nearby."
August Batsch,en,s,"August Johann Georg Karl Batsch (28 October 1761 – 29 September 1802) was a German naturalist.  He was a recognised authority on mushrooms, and also described new species of ferns, bryophytes, and seed plants.  Life and career Batsch was born in Jena, Saxe-Weimar to George Lorenz Bratsch and Ernestine (nee Franke) Bratsch.  He studied at the Jena City School, and then had private tuition."
Bonn,en,s,"Bon or Bön (Tibetan: བོན་, Wylie: bon, ZYPY: Pön, Lhasa dialect: [pʰø̃̀]), also known as Yungdrung Bon (Tibetan: གཡུང་དྲུང་བོན་, Wylie: gyung drung bon, ZYPY: Yungchung Pön, lit.  'eternal Bon'), is the indigenous Tibetan religion which shares many similarities and influences with Tibetan Buddhism.  It initially developed in the tenth and eleventh centuries but retains elements from earlier Tibetan religious traditions."
Constantine Samuel Rafinesque,en,s,"Constantine Samuel Rafinesque-Schmaltz (French pronunciation: [kɔ̃stɑ̃tin samɥɛl ʁafinɛsk(ə)ʃmalts]; 22 October 1783 – 18 September 1840) was a French early 19th-century polymath born near Constantinople in the Ottoman Empire and self-educated in France.  He traveled as a young man in the United States, ultimately settling in Ohio in 1815, where he made notable contributions to botany, zoology, and the study of prehistoric earthworks in North America."
cervical vertebrae,en,s,"In tetrapods, cervical vertebrae (sg. : vertebra) are the vertebrae of the neck, immediately below the skull.  Truncal vertebrae (divided into thoracic and lumbar vertebrae in mammals) lie caudal (toward the tail) of cervical vertebrae.  In sauropsid species, the cervical vertebrae bear cervical ribs.  In lizards and saurischian dinosaurs, the cervical ribs are large; in birds, they are small and completely fused to the vertebrae."
Guy's Hospital,en,s,"Guy's Hospital is an NHS hospital founded by Thomas Guy, located in the borough of Southwark in central London.  It is part of Guy's and St Thomas' NHS Foundation Trust and one of the institutions that comprise the King's Health Partners, an academic health science centre. It is a large teaching hospital and is, with St Thomas' Hospital and King's College Hospital, the location of King's College London GKT School of Medical Education."
Duchy of Saxe-Weimar,en,s,"Saxe-Weimar-Eisenach (German: Sachsen-Weimar-Eisenach) was a German state, created as a duchy in 1809 by the merger of the Ernestine duchies of Saxe-Weimar and Saxe-Eisenach, which had been in personal union since 1741.  It was raised to a grand duchy in 1815 by resolution of the Congress of Vienna.  In 1903, it officially changed its name to the Grand Duchy of Saxony (German: Großherzogtum Sachsen), but this name was rarely used."
Emydidae,en,s,"Emydidae (Latin emys (freshwater tortoise) + Ancient Greek εἶδος (eîdos, “appearance, resemblance”)) is a family of testudines (turtles) that includes close to 50 species in 10 genera.  Members of this family are commonly called terrapins, pond turtles, or marsh turtles.  Several species of Asian box turtles were formerly classified in the family; however, revised taxonomy has separated them to a different family (Geoemydidae)."
John Edward Gray,en,s,John Edward Gray  (12 February 1800 – 7 March 1875) was a British zoologist.  He was the elder brother of zoologist George Robert Gray and son of the pharmacologist and botanist Samuel Frederick Gray (1766–1828).  The standard author abbreviation J. E. Gray is used to indicate this person as the author when citing a botanical name.  The same is used for a zoological name.
Badnerlied,en,s,"The Badnerlied (""Song of the People of Baden"") is the unofficial hymn of the former state of Baden, now part of Baden-Württemberg.  Origin The song was adapted around 1865 from a similar hymn praising Saxony, which has since fallen into obscurity.   Two reference points are the Festung in Rastatt and the industrialization of Mannheim."
Dorset,en,s,"Dorset ( DOR-sit; archaically: Dorsetshire  DOR-sit-sheer, -⁠shər) is a ceremonial county in South West England.  It is bordered by Somerset to the north-west, Wiltshire to the north and the north-east, Hampshire to the east, the Isle of Wight across the Solent to the south-east, the English Channel to the south, and Devon to the west.  The largest settlement is Bournemouth, and the county town is Dorchester. The county has an area of 2,653 km2 (1,024 sq mi) and a population of 772,268."
zoological nomenclature,en,s,"The International Code of Zoological Nomenclature (ICZN) is a widely accepted convention in zoology that rules the formal scientific naming of organisms treated as animals.  It is also informally known as the ICZN Code, for its publisher, the International Commission on Zoological Nomenclature (which shares the acronym ""ICZN"")."
sedimentary rock,en,s,"Sedimentary rocks are types of rock that are formed by the accumulation or deposition of mineral or organic particles at Earth's surface, followed by cementation.  Sedimentation is the collective name for processes that cause these particles to settle in place.  The particles that form a sedimentary rock are called sediment, and may be composed of geological detritus (minerals) or biological detritus (organic matter)."
Late Jurassic,en,s,"The Late Jurassic is the third epoch of the Jurassic Period, and it spans the geologic time from 161. 5 ± 1. 0 to 145. 0 ± 0. 8 million years ago (Ma), which is preserved in Upper Jurassic strata. In European lithostratigraphy, the name ""Malm"" indicates rocks of Late Jurassic age.  In the past, Malm was also used to indicate the unit of geological time, but this usage is now discouraged to make a clear distinction between lithostratigraphic and geochronologic/chronostratigraphic units."
geologist,en,s,"A biologist is a scientist who conducts research in biology.  Biologists are interested in studying life on Earth, whether it is an individual cell, a multicellular organism, or a community of interacting populations.  They usually specialize in a particular branch (e. g. , molecular biology, zoology, and evolutionary biology) of biology and have a specific research focus (e. g. , studying malaria or cancer)."
Middle Triassic,en,s,"In the geologic timescale, the Middle Triassic is the second of three epochs of the Triassic period or the middle of three series in which the Triassic system is divided in chronostratigraphy.  The Middle Triassic spans the time between 247. 2 Ma and 237 Ma (million years ago).  It is preceded by the Early Triassic Epoch and followed by the Late Triassic Epoch.  The Middle Triassic is divided into the Anisian and Ladinian ages or stages."
Baden-Württemberg,en,s,
Das Lied der Deutschen,en,s,"The ""Deutschlandlied"", officially titled ""Das Lied der Deutschen"", is the national anthem of Germany.  It was first adopted in 1922 during the period of the Weimar Republic, replacing ""Heil dir im Siegerkranz"".  The first stanza of ""Deutchlandlied"" was used alongside the ""Horst-Wessel-Lied"" during the Nazi regime from 1933 until the end of World War II.  Since then, only the third stanza has been used officially as the national anthem."
genus,en,s,"Genre (French for 'kind, sort') is any style or form of communication in any mode (written, spoken, digital, artistic, etc. ) with socially agreed-upon conventions developed over time.  In popular usage, it normally describes a category of literature, music, or other forms of art or entertainment, based on some set of stylistic criteria.  Often, works fit into multiple genres by way of borrowing and recombining these conventions."
Hermann Schlegel,en,s,"Hermann Schlegel (10 June 1804 – 17 January 1884) was a German ornithologist, herpetologist and ichthyologist.  Early life and education Schlegel was born at Altenburg, the son of a brassfounder.  His father collected butterflies, which stimulated Schlegel's interest in natural history.  The discovery, by chance, of a buzzard's nest led him to the study of birds, and a meeting with Christian Ludwig Brehm. Schlegel started to work for his father, but soon tired of it."
Turtle Taxonomy Working Group,en,s,"The Turtle Taxonomy Working Group (TTWG) is an informal working group of the IUCN/SSC Tortoise and Freshwater Turtle Specialist Group (TFTSG).  It is composed of a number of leading turtle taxonomists, with varying participation by individual participants over the years, some dropping out and others joining."
International nongovernmental organization,en,s,"An international non-governmental organization (INGO) is an organization which is independent of government involvement and extends the concept of a non-governmental organization (NGO) to an international scope.  INGOs can admit members affiliated to government authorities as long as it does not interfere with their freedom to express themselves.  Around the world, there are about 75,000 international organizations and about 42,000 of them are active."
Alexander Roslin,en,s,
Upper Cretaceous,en,s,"The Late Cretaceous (100. 5–66 Ma) is the younger of two epochs into which the Cretaceous Period is divided in the geologic time scale.  Rock strata from this epoch form the Upper Cretaceous Series.  The Cretaceous is named after creta, the Latin word for the white limestone known as chalk.  The chalk of northern France and the white cliffs of south-eastern England date from the  Cretaceous Period."
Chelodina,en,s,"Chelodina, collectively known as snake-necked turtles, is a large and diverse genus of long-necked chelid turtles with a complicated nomenclatural history.  Although in the past, Macrochelodina and Macrodiremys have been considered separate genera and prior to that all the same, they are now considered subgenera of the Chelodina, further Macrochelodina and Macrodiremys are now known to apply to the same species, hence Chelydera is used for the northern snake-necked turtles."
organism,en,s,"Organicism is the philosophical position that states that the universe and its various parts (including human societies) ought to be considered alive and naturally ordered, much like a living organism.  Vital to the position is the idea that organicistic elements are not dormant ""things"" per se but rather dynamic components in a comprehensive system that is, as a whole, everchanging."
University of Pennsylvania,en,s,"The University of Pennsylvania (commonly known as Penn or UPenn) is a private Ivy League research university in Philadelphia, Pennsylvania, United States.  It is one of nine colonial colleges and was chartered prior to the U. S.  Declaration of Independence when Benjamin Franklin, the university's founder and first president, advocated for an educational institution that trained leaders in academia, commerce, and public service."
Black-knobbed map turtle,en,s,"The black-knobbed map turtle (Graptemys nigrinoda), formerly known as the black-knobbed sawback, is a small to medium-sized aquatic turtle with light gray skin.  Some of the most distinguishing characteristics of the black-knobbed map turtle, and the Graptemys genus, are the protruding ""spikes"" on the turtle's carapace.   This species inhabits mainly the fall lines of rivers in the Mobile Bay drainage, in Alabama and Mississippi.  Description The carapace of G."
Thomas Bell (zoologist),en,s,"Thomas Hornsey Bell FRS FLS (11 October 1792 – 13 March 1880) was an English zoologist, dental surgeon and writer, born in Poole, Dorset, England.  Career Bell, like his mother Susan, took a keen interest in natural history which his mother also encouraged in his younger cousin Philip Henry Gosse.  Bell left Poole in 1813 for his training as a dental surgeon in London."
United States Geological Survey,en,s,"The United States Geological Survey (USGS), founded as the Geological Survey, is an agency of the U. S.  Department of the Interior whose work spans the disciplines of biology, geography, geology, and hydrology.  The agency was founded on March 3, 1879, to study the landscape of the United States, its natural resources, and the natural hazards that threaten it.  The agency also makes maps of extraterrestrial planets and moons based on data from U. S.  space probes. The sole scientific agency of the U."
